x , y , z
-1.32391 , -0.878318 , 0.0138521
-1.32084 , -0.871294 , 0.0139242
-1.31776 , -0.864254 , 0.013996
-1.31465 , -0.857197 , 0.0140676
-1.31151 , -0.850124 , 0.0141389
-1.30835 , -0.843035 , 0.0142099
-1.30516 , -0.835929 , 0.0142806
-1.30195 , -0.828806 , 0.0143511
-1.29871 , -0.821667 , 0.0144213
-1.29545 , -0.814511 , 0.0144912
-1.29215 , -0.807338 , 0.0145608
-1.28884 , -0.800148 , 0.01463
-1.28549 , -0.792941 , 0.014699
-1.28212 , -0.785717 , 0.0147677
-1.27872 , -0.778476 , 0.014836
-1.27529 , -0.771217 , 0.0149041
-1.27183 , -0.763941 , 0.0149718
-1.26835 , -0.756648 , 0.0150391
-1.26483 , -0.749338 , 0.0151061
-1.26129 , -0.742009 , 0.0151728
-1.25772 , -0.734664 , 0.0152391
-1.25412 , -0.7273 , 0.015305
-1.25048 , -0.719919 , 0.0153706
-1.24682 , -0.71252 , 0.0154358
-1.24313 , -0.705103 , 0.0155006
-1.2394 , -0.697669 , 0.0155651
-1.23564 , -0.690216 , 0.0156291
-1.23185 , -0.682745 , 0.0156927
-1.22803 , -0.675256 , 0.0157559
-1.22418 , -0.667748 , 0.0158187
-1.22029 , -0.660222 , 0.0158811
-1.21637 , -0.652678 , 0.015943
-1.21242 , -0.645116 , 0.0160045
-1.20843 , -0.637534 , 0.0160655
-1.2044 , -0.629935 , 0.016126
-1.20034 , -0.622316 , 0.0161861
-1.19625 , -0.614679 , 0.0162457
-1.19212 , -0.607023 , 0.0163049
-1.18795 , -0.599348 , 0.0163635
-1.18375 , -0.591654 , 0.0164216
-1.1795 , -0.583941 , 0.0164792
-1.17522 , -0.576209 , 0.0165362
-1.17091 , -0.568457 , 0.0165927
-1.16655 , -0.560687 , 0.0166487
-1.16215 , -0.552897 , 0.0167041
-1.15772 , -0.545088 , 0.0167589
-1.15324 , -0.537259 , 0.0168131
-1.14872 , -0.529411 , 0.0168667
-1.14416 , -0.521543 , 0.0169197
-1.13956 , -0.513656 , 0.0169721
-1.13491 , -0.505749 , 0.0170238
-1.13022 , -0.497822 , 0.0170749
-1.12549 , -0.489876 , 0.0171254
-1.12071 , -0.481909 , 0.0171751
-1.11589 , -0.473923 , 0.0172241
-1.11102 , -0.465917 , 0.0172725
-1.1061 , -0.457891 , 0.0173201
-1.10114 , -0.449845 , 0.0173669
-1.09613 , -0.441778 , 0.017413
-1.09107 , -0.433692 , 0.0174584
-1.08596 , -0.425586 , 0.0175029
-1.0808 , -0.417459 , 0.0175466
-1.07558 , -0.409313 , 0.0175895
-1.07032 , -0.401146 , 0.0176315
-1.06501 , -0.392959 , 0.0176727
-1.05964 , -0.384751 , 0.0177129
-1.05421 , -0.376524 , 0.0177523
-1.04873 , -0.368276 , 0.0177907
-1.0432 , -0.360008 , 0.0178282
-1.0376 , -0.35172 , 0.0178647
-1.03195 , -0.343411 , 0.0179002
-1.02624 , -0.335083 , 0.0179346
-1.02047 , -0.326734 , 0.017968
-1.01464 , -0.318366 , 0.0180003
-1.00875 , -0.309977 , 0.0180316
-1.00279 , -0.301568 , 0.0180617
-0.996773 , -0.29314 , 0.0180906
-0.990687 , -0.284691 , 0.0181183
-0.984534 , -0.276223 , 0.0181448
-0.978314 , -0.267735 , 0.0181701
-0.972024 , -0.259228 , 0.0181941
