x , y , z
12.9729 , -31.3627 , -0.396537
12.9742 , -31.3621 , -0.396964
12.9754 , -31.3615 , -0.39739
12.9767 , -31.3608 , -0.397817
12.9779 , -31.3602 , -0.398243
12.9792 , -31.3595 , -0.398669
12.9805 , -31.3589 , -0.399096
12.9817 , -31.3582 , -0.399522
12.983 , -31.3576 , -0.399948
12.9842 , -31.357 , -0.400375
12.9855 , -31.3563 , -0.400801
12.9867 , -31.3557 , -0.401228
12.988 , -31.355 , -0.401654
12.9893 , -31.3544 , -0.40208
12.9905 , -31.3538 , -0.402507
12.9918 , -31.3531 , -0.402933
12.993 , -31.3525 , -0.403359
12.9943 , -31.3518 , -0.403786
12.9955 , -31.3512 , -0.404212
12.9968 , -31.3506 , -0.404638
12.9981 , -31.3499 , -0.405065
12.9993 , -31.3493 , -0.405491
13.0006 , -31.3486 , -0.405918
13.0018 , -31.348 , -0.406344
13.0031 , -31.3474 , -0.40677
13.0043 , -31.3467 , -0.407197
13.0056 , -31.3461 , -0.407623
13.0069 , -31.3454 , -0.408049
13.0081 , -31.3448 , -0.408476
13.0094 , -31.3441 , -0.408902
13.0106 , -31.3435 , -0.409328
13.0119 , -31.3429 , -0.409755
13.0131 , -31.3422 , -0.410181
13.0144 , -31.3416 , -0.410607
13.0157 , -31.3409 , -0.411034
13.0169 , -31.3403 , -0.41146
13.0182 , -31.3397 , -0.411887
13.0194 , -31.339 , -0.412313
13.0207 , -31.3384 , -0.412739
13.0219 , -31.3377 , -0.413166
13.0232 , -31.3371 , -0.413592
13.0244 , -31.3364 , -0.414018
13.0257 , -31.3358 , -0.414445
13.027 , -31.3352 , -0.414871
13.0282 , -31.3345 , -0.415297
13.0295 , -31.3339 , -0.415724
13.0307 , -31.3332 , -0.41615
13.032 , -31.3326 , -0.416576
13.0332 , -31.3319 , -0.417003
13.0345 , -31.3313 , -0.417429
13.0358 , -31.3307 , -0.417855
13.037 , -31.33 , -0.418282
13.0383 , -31.3294 , -0.418708
13.0395 , -31.3287 , -0.419134
13.0408 , -31.3281 , -0.419561
13.042 , -31.3274 , -0.419987
13.0433 , -31.3268 , -0.420413
13.0445 , -31.3262 , -0.42084
13.0458 , -31.3255 , -0.421266
13.0471 , -31.3249 , -0.421692
13.0483 , -31.3242 , -0.422119
13.0496 , -31.3236 , -0.422545
13.0508 , -31.3229 , -0.422971
13.0521 , -31.3223 , -0.423398
13.0533 , -31.3216 , -0.423824
13.0546 , -31.321 , -0.42425
13.0559 , -31.3204 , -0.424677
13.0571 , -31.3197 , -0.425103
13.0584 , -31.3191 , -0.425529
13.0596 , -31.3184 , -0.425956
13.0609 , -31.3178 , -0.426382
13.0621 , -31.3171 , -0.426808
13.0634 , -31.3165 , -0.427235
13.0646 , -31.3158 , -0.427661
13.0659 , -31.3152 , -0.428087
13.0672 , -31.3146 , -0.428514
13.0684 , -31.3139 , -0.42894
13.0697 , -31.3133 , -0.429366
13.0709 , -31.3126 , -0.429793
13.0722 , -31.312 , -0.430219
13.0734 , -31.3113 , -0.430645
13.0747 , -31.3107 , -0.431071
13.0759 , -31.31 , -0.431498
13.0772 , -31.3094 , -0.431924
13.0785 , -31.3088 , -0.43235
13.0797 , -31.3081 , -0.432777
13.081 , -31.3075 , -0.433203
13.0822 , -31.3068 , -0.433629
13.0835 , -31.3062 , -0.434056
13.0847 , -31.3055 , -0.434482
13.086 , -31.3049 , -0.434908
13.0872 , -31.3042 , -0.435335
13.0885 , -31.3036 , -0.435761
13.0897 , -31.3029 , -0.436187
13.091 , -31.3023 , -0.436613
13.0923 , -31.3017 , -0.43704
13.0935 , -31.301 , -0.437466
13.0948 , -31.3004 , -0.437892
13.096 , -31.2997 , -0.438319
13.0973 , -31.2991 , -0.438745
13.0985 , -31.2984 , -0.439171
13.0998 , -31.2978 , -0.439598
13.101 , -31.2971 , -0.440024
13.1023 , -31.2965 , -0.44045
13.1036 , -31.2958 , -0.440876
13.1048 , -31.2952 , -0.441303
13.1061 , -31.2946 , -0.441729
13.1073 , -31.2939 , -0.442155
13.1086 , -31.2933 , -0.442582
13.1098 , -31.2926 , -0.443008
13.1111 , -31.292 , -0.443434
13.1123 , -31.2913 , -0.443861
13.1136 , -31.2907 , -0.444287
13.1148 , -31.29 , -0.444713
13.1161 , -31.2894 , -0.445139
13.1174 , -31.2887 , -0.445566
13.1186 , -31.2881 , -0.445992
13.1199 , -31.2874 , -0.446418
13.1211 , -31.2868 , -0.446845
13.1224 , -31.2861 , -0.447271
13.1236 , -31.2855 , -0.447697
13.1249 , -31.2848 , -0.448123
13.1261 , -31.2842 , -0.44855
13.1274 , -31.2836 , -0.448976
13.1286 , -31.2829 , -0.449402
13.1299 , -31.2823 , -0.449828
13.1312 , -31.2816 , -0.450255
13.1324 , -31.281 , -0.450681
13.1337 , -31.2803 , -0.451107
13.1349 , -31.2797 , -0.451534
13.1362 , -31.279 , -0.45196
13.1374 , -31.2784 , -0.452386
13.1387 , -31.2777 , -0.452812
13.1399 , -31.2771 , -0.453239
13.1412 , -31.2764 , -0.453665
13.1424 , -31.2758 , -0.454091
13.1437 , -31.2751 , -0.454517
13.145 , -31.2745 , -0.454944
13.1462 , -31.2738 , -0.45537
13.1475 , -31.2732 , -0.455796
13.1487 , -31.2725 , -0.456223
13.15 , -31.2719 , -0.456649
13.1512 , -31.2712 , -0.457075
13.1525 , -31.2706 , -0.457501
13.1537 , -31.2699 , -0.457928
13.155 , -31.2693 , -0.458354
13.1562 , -31.2686 , -0.45878
13.1575 , -31.268 , -0.459206
13.1587 , -31.2674 , -0.459633
13.16 , -31.2667 , -0.460059
13.1613 , -31.2661 , -0.460485
13.1625 , -31.2654 , -0.460911
13.1638 , -31.2648 , -0.461338
13.165 , -31.2641 , -0.461764
13.1663 , -31.2635 , -0.46219
13.1675 , -31.2628 , -0.462616
13.1688 , -31.2622 , -0.463043
13.17 , -31.2615 , -0.463469
13.1713 , -31.2609 , -0.463895
13.1725 , -31.2602 , -0.464321
13.1738 , -31.2596 , -0.464748
13.175 , -31.2589 , -0.465174
13.1763 , -31.2583 , -0.4656
13.1776 , -31.2576 , -0.466026
13.1788 , -31.257 , -0.466453
13.1801 , -31.2563 , -0.466879
13.1813 , -31.2557 , -0.467305
13.1826 , -31.255 , -0.467731
13.1838 , -31.2544 , -0.468158
13.1851 , -31.2537 , -0.468584
13.1863 , -31.2531 , -0.46901
13.1876 , -31.2524 , -0.469436
13.1888 , -31.2518 , -0.469863
13.1901 , -31.2511 , -0.470289
13.1913 , -31.2505 , -0.470715
13.1926 , -31.2498 , -0.471141
13.1938 , -31.2492 , -0.471568
13.1951 , -31.2485 , -0.471994
13.1963 , -31.2479 , -0.47242
13.1976 , -31.2472 , -0.472846
13.1989 , -31.2466 , -0.473272
13.2001 , -31.2459 , -0.473699
13.2014 , -31.2453 , -0.474125
13.2026 , -31.2446 , -0.474551
13.2039 , -31.244 , -0.474977
13.2051 , -31.2433 , -0.475404
13.2064 , -31.2427 , -0.47583
13.2076 , -31.242 , -0.476256
13.2089 , -31.2414 , -0.476682
13.2101 , -31.2407 , -0.477108
13.2114 , -31.24 , -0.477535
13.2126 , -31.2394 , -0.477961
13.2139 , -31.2387 , -0.478387
13.2151 , -31.2381 , -0.478813
13.2164 , -31.2374 , -0.47924
13.2176 , -31.2368 , -0.479666
13.2189 , -31.2361 , -0.480092
13.2202 , -31.2355 , -0.480518
13.2214 , -31.2348 , -0.480944
13.2227 , -31.2342 , -0.481371
13.2239 , -31.2335 , -0.481797
13.2252 , -31.2329 , -0.482223
13.2264 , -31.2322 , -0.482649
13.2277 , -31.2316 , -0.483075
13.2289 , -31.2309 , -0.483502
13.2302 , -31.2303 , -0.483928
13.2314 , -31.2296 , -0.484354
13.2327 , -31.229 , -0.48478
13.2339 , -31.2283 , -0.485207
13.2352 , -31.2277 , -0.485633
13.2364 , -31.227 , -0.486059
13.2377 , -31.2264 , -0.486485
13.2389 , -31.2257 , -0.486911
13.2402 , -31.2251 , -0.487338
13.2414 , -31.2244 , -0.487764
13.2427 , -31.2237 , -0.48819
13.2439 , -31.2231 , -0.488616
13.2452 , -31.2224 , -0.489042
13.2465 , -31.2218 , -0.489469
13.2477 , -31.2211 , -0.489895
13.249 , -31.2205 , -0.490321
13.2502 , -31.2198 , -0.490747
13.2515 , -31.2192 , -0.491173
13.2527 , -31.2185 , -0.491599
13.254 , -31.2179 , -0.492026
13.2552 , -31.2172 , -0.492452
13.2565 , -31.2166 , -0.492878
13.2577 , -31.2159 , -0.493304
13.259 , -31.2153 , -0.49373
13.2602 , -31.2146 , -0.494157
13.2615 , -31.2139 , -0.494583
13.2627 , -31.2133 , -0.495009
13.264 , -31.2126 , -0.495435
13.2652 , -31.212 , -0.495861
13.2665 , -31.2113 , -0.496287
13.2677 , -31.2107 , -0.496714
13.269 , -31.21 , -0.49714
13.2702 , -31.2094 , -0.497566
13.2715 , -31.2087 , -0.497992
13.2727 , -31.2081 , -0.498418
13.274 , -31.2074 , -0.498845
13.2752 , -31.2068 , -0.499271
13.2765 , -31.2061 , -0.499697
13.2777 , -31.2054 , -0.500123
13.279 , -31.2048 , -0.500549
13.2802 , -31.2041 , -0.500975
13.2815 , -31.2035 , -0.501402
13.2828 , -31.2028 , -0.501828
13.284 , -31.2022 , -0.502254
13.2853 , -31.2015 , -0.50268
13.2865 , -31.2009 , -0.503106
13.2878 , -31.2002 , -0.503532
13.289 , -31.1996 , -0.503959
13.2903 , -31.1989 , -0.504385
13.2915 , -31.1982 , -0.504811
13.2928 , -31.1976 , -0.505237
