x , y , z
16.2217 , 11.3865 , -0.167864
16.2198 , 11.3868 , -0.167838
16.2179 , 11.3872 , -0.167812
16.2159 , 11.3876 , -0.167785
16.214 , 11.388 , -0.167759
16.2121 , 11.3883 , -0.167733
16.2102 , 11.3887 , -0.167707
16.2082 , 11.3891 , -0.16768
16.2063 , 11.3894 , -0.167654
16.2044 , 11.3898 , -0.167628
16.2025 , 11.3902 , -0.167601
16.2006 , 11.3906 , -0.167575
16.1986 , 11.3909 , -0.167549
16.1967 , 11.3913 , -0.167522
16.1948 , 11.3917 , -0.167496
16.1929 , 11.392 , -0.16747
16.1909 , 11.3924 , -0.167444
16.189 , 11.3928 , -0.167417
16.1871 , 11.3931 , -0.167391
16.1852 , 11.3935 , -0.167365
16.1832 , 11.3939 , -0.167338
16.1813 , 11.3942 , -0.167312
16.1794 , 11.3946 , -0.167286
16.1775 , 11.395 , -0.167259
16.1755 , 11.3954 , -0.167233
16.1736 , 11.3957 , -0.167207
16.1717 , 11.3961 , -0.16718
16.1698 , 11.3965 , -0.167154
16.1678 , 11.3968 , -0.167128
16.1659 , 11.3972 , -0.167101
16.164 , 11.3976 , -0.167075
16.1621 , 11.3979 , -0.167049
16.1601 , 11.3983 , -0.167022
16.1582 , 11.3987 , -0.166996
16.1563 , 11.399 , -0.16697
16.1543 , 11.3994 , -0.166943
16.1524 , 11.3998 , -0.166917
16.1505 , 11.4001 , -0.166891
16.1486 , 11.4005 , -0.166864
16.1466 , 11.4009 , -0.166838
16.1447 , 11.4012 , -0.166812
16.1428 , 11.4016 , -0.166785
16.1409 , 11.402 , -0.166759
16.1389 , 11.4023 , -0.166732
16.137 , 11.4027 , -0.166706
16.1351 , 11.4031 , -0.16668
16.1331 , 11.4034 , -0.166653
16.1312 , 11.4038 , -0.166627
16.1293 , 11.4042 , -0.166601
16.1274 , 11.4045 , -0.166574
16.1254 , 11.4049 , -0.166548
16.1235 , 11.4053 , -0.166522
16.1216 , 11.4056 , -0.166495
16.1196 , 11.406 , -0.166469
16.1177 , 11.4064 , -0.166442
16.1158 , 11.4067 , -0.166416
16.1138 , 11.4071 , -0.16639
16.1119 , 11.4075 , -0.166363
16.11 , 11.4078 , -0.166337
16.1081 , 11.4082 , -0.166311
16.1061 , 11.4086 , -0.166284
16.1042 , 11.4089 , -0.166258
16.1023 , 11.4093 , -0.166231
16.1003 , 11.4096 , -0.166205
16.0984 , 11.41 , -0.166179
16.0965 , 11.4104 , -0.166152
16.0945 , 11.4107 , -0.166126
16.0926 , 11.4111 , -0.166099
16.0907 , 11.4115 , -0.166073
16.0887 , 11.4118 , -0.166047
16.0868 , 11.4122 , -0.16602
16.0849 , 11.4126 , -0.165994
16.0829 , 11.4129 , -0.165967
16.081 , 11.4133 , -0.165941
16.0791 , 11.4136 , -0.165915
16.0771 , 11.414 , -0.165888
16.0752 , 11.4144 , -0.165862
16.0733 , 11.4147 , -0.165835
16.0713 , 11.4151 , -0.165809
16.0694 , 11.4155 , -0.165783
16.0675 , 11.4158 , -0.165756
16.0655 , 11.4162 , -0.16573
16.0636 , 11.4166 , -0.165703
16.0617 , 11.4169 , -0.165677
16.0597 , 11.4173 , -0.165651
16.0578 , 11.4176 , -0.165624
16.0559 , 11.418 , -0.165598
16.0539 , 11.4184 , -0.165571
16.052 , 11.4187 , -0.165545
16.0501 , 11.4191 , -0.165518
16.0481 , 11.4194 , -0.165492
16.0462 , 11.4198 , -0.165466
16.0443 , 11.4202 , -0.165439
16.0423 , 11.4205 , -0.165413
16.0404 , 11.4209 , -0.165386
16.0384 , 11.4213 , -0.16536
16.0365 , 11.4216 , -0.165333
16.0346 , 11.422 , -0.165307
16.0326 , 11.4223 , -0.16528
16.0307 , 11.4227 , -0.165254
16.0288 , 11.4231 , -0.165228
16.0268 , 11.4234 , -0.165201
16.0249 , 11.4238 , -0.165175
16.023 , 11.4241 , -0.165148
16.021 , 11.4245 , -0.165122
16.0191 , 11.4249 , -0.165095
16.0171 , 11.4252 , -0.165069
16.0152 , 11.4256 , -0.165042
16.0133 , 11.4259 , -0.165016
16.0113 , 11.4263 , -0.164989
16.0094 , 11.4267 , -0.164963
16.0074 , 11.427 , -0.164937
16.0055 , 11.4274 , -0.16491
16.0036 , 11.4277 , -0.164884
16.0016 , 11.4281 , -0.164857
15.9997 , 11.4284 , -0.164831
15.9978 , 11.4288 , -0.164804
15.9958 , 11.4292 , -0.164778
15.9939 , 11.4295 , -0.164751
15.9919 , 11.4299 , -0.164725
15.99 , 11.4302 , -0.164698
15.9881 , 11.4306 , -0.164672
15.9861 , 11.431 , -0.164645
15.9842 , 11.4313 , -0.164619
15.9822 , 11.4317 , -0.164592
15.9803 , 11.432 , -0.164566
15.9784 , 11.4324 , -0.164539
15.9764 , 11.4327 , -0.164513
15.9745 , 11.4331 , -0.164486
15.9725 , 11.4335 , -0.16446
15.9706 , 11.4338 , -0.164433
15.9686 , 11.4342 , -0.164407
15.9667 , 11.4345 , -0.16438
15.9648 , 11.4349 , -0.164354
15.9628 , 11.4352 , -0.164327
