x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.18747 , 0.974495 , -1.76108e-005
-0.204739 , 0.972131 , -1.69832e-005
-0.221946 , 0.969469 , -1.63432e-005
-0.239086 , 0.966513 , -1.56909e-005
-0.256154 , 0.963262 , -1.50264e-005
-0.273146 , 0.959721 , -1.435e-005
-0.290055 , 0.955889 , -1.36618e-005
-0.306877 , 0.95177 , -1.2962e-005
-0.323608 , 0.947366 , -1.22508e-005
-0.340243 , 0.942679 , -1.15283e-005
-0.356777 , 0.937711 , -1.07948e-005
-0.373205 , 0.932465 , -1.00503e-005
-0.389523 , 0.926943 , -9.29524e-006
-0.405726 , 0.921147 , -8.52963e-006
-0.421811 , 0.915081 , -7.75371e-006
-0.437771 , 0.908747 , -6.96769e-006
-0.453605 , 0.902147 , -6.17175e-006
-0.469306 , 0.895285 , -5.36609e-006
-0.484871 , 0.888163 , -4.55091e-006
-0.500295 , 0.880784 , -3.72642e-006
-0.515576 , 0.873151 , -2.89281e-006
-0.530708 , 0.865267 , -2.05028e-006
-0.545688 , 0.857135 , -1.19906e-006
-0.560512 , 0.848759 , -3.39329e-007
-0.575176 , 0.840141 , 5.28693e-007
-0.589677 , 0.831285 , 1.4048e-006
-0.604011 , 0.822194 , 2.28878e-006
-0.618174 , 0.81287 , 3.18043e-006
-0.632163 , 0.803319 , 4.07953e-006
-0.645974 , 0.793542 , 4.98588e-006
-0.659604 , 0.783544 , 5.89925e-006
-0.67305 , 0.773328 , 6.81945e-006
-0.686309 , 0.762897 , 7.74624e-006
-0.699377 , 0.752255 , 8.67943e-006
-0.712251 , 0.741406 , 9.61879e-006
-0.724929 , 0.730352 , 1.05641e-005
-0.737407 , 0.719099 , 1.15152e-005
-0.749682 , 0.707648 , 1.24718e-005
-0.761753 , 0.696006 , 1.34337e-005
-0.773615 , 0.684173 , 1.44007e-005
-0.785266 , 0.672156 , 1.53726e-005
-0.796704 , 0.659957 , 1.63491e-005
-0.807926 , 0.64758 , 1.73301e-005
-0.81893 , 0.63503 , 1.83154e-005
-0.829714 , 0.622309 , 1.93046e-005
-0.840274 , 0.609422 , 2.02977e-005
-0.850609 , 0.596373 , 2.12943e-005
-0.860716 , 0.583166 , 2.22943e-005
-0.870594 , 0.569804 , 2.32975e-005
-0.88024 , 0.556292 , 2.43036e-005
-0.889653 , 0.542634 , 2.53124e-005
-0.898829 , 0.528833 , 2.63237e-005
-0.907769 , 0.514893 , 2.73374e-005
-0.916469 , 0.50082 , 2.83531e-005
-0.924928 , 0.486615 , 2.93707e-005
-0.933145 , 0.472285 , 3.039e-005
-0.941117 , 0.457832 , 3.14107e-005
-0.948844 , 0.443261 , 3.24326e-005
-0.956323 , 0.428576 , 3.34556e-005
-0.963554 , 0.413781 , 3.44794e-005
-0.970534 , 0.39888 , 3.55038e-005
-0.977263 , 0.383878 , 3.65286e-005
-0.98374 , 0.368777 , 3.75536e-005
-0.989963 , 0.353583 , 3.85786e-005
-0.995932 , 0.338299 , 3.96034e-005
-1.00164 , 0.32293 , 4.06278e-005
-1.0071 , 0.30748 , 4.16515e-005
-1.0123 , 0.291953 , 4.26744e-005
