x , y , z
0.522349 , -5.19358 , 0.00985376
0.5273 , -5.19881 , 0.0097647
0.532251 , -5.20402 , 0.00967562
0.537201 , -5.20923 , 0.00958651
0.542149 , -5.21442 , 0.00949739
0.547097 , -5.21961 , 0.00940826
0.552043 , -5.22478 , 0.0093191
0.556988 , -5.22994 , 0.00922992
0.561932 , -5.2351 , 0.00914072
0.566875 , -5.24024 , 0.00905151
0.571817 , -5.24537 , 0.00896228
0.576757 , -5.25049 , 0.00887303
0.581697 , -5.2556 , 0.00878376
0.586635 , -5.2607 , 0.00869447
0.591572 , -5.26579 , 0.00860517
0.596508 , -5.27087 , 0.00851585
0.601443 , -5.27594 , 0.00842652
0.606376 , -5.28099 , 0.00833717
0.611309 , -5.28604 , 0.0082478
0.61624 , -5.29108 , 0.00815841
0.62117 , -5.29611 , 0.00806901
0.626099 , -5.30112 , 0.0079796
0.631026 , -5.30613 , 0.00789017
0.635952 , -5.31113 , 0.00780072
0.640878 , -5.31611 , 0.00771126
0.645801 , -5.32109 , 0.00762178
0.650724 , -5.32606 , 0.00753229
0.655645 , -5.33101 , 0.00744279
0.660566 , -5.33596 , 0.00735327
0.665484 , -5.34089 , 0.00726374
0.670402 , -5.34582 , 0.00717419
0.675318 , -5.35073 , 0.00708463
0.680234 , -5.35564 , 0.00699506
0.685147 , -5.36053 , 0.00690547
0.69006 , -5.36542 , 0.00681587
0.694971 , -5.3703 , 0.00672626
0.699881 , -5.37516 , 0.00663664
0.70479 , -5.38002 , 0.006547
0.709697 , -5.38486 , 0.00645736
0.714603 , -5.3897 , 0.0063677
0.719508 , -5.39453 , 0.00627802
0.724411 , -5.39934 , 0.00618834
0.729313 , -5.40415 , 0.00609865
0.734214 , -5.40894 , 0.00600894
0.739114 , -5.41373 , 0.00591923
0.744012 , -5.41851 , 0.0058295
0.748908 , -5.42328 , 0.00573977
0.753804 , -5.42803 , 0.00565002
0.758698 , -5.43278 , 0.00556026
0.763591 , -5.43752 , 0.0054705
0.768482 , -5.44225 , 0.00538072
0.773372 , -5.44697 , 0.00529094
0.778261 , -5.45168 , 0.00520114
0.783148 , -5.45638 , 0.00511134
0.788034 , -5.46107 , 0.00502153
0.792918 , -5.46575 , 0.0049317
0.797801 , -5.47042 , 0.00484187
0.802683 , -5.47508 , 0.00475204
0.807563 , -5.47973 , 0.00466219
0.812442 , -5.48438 , 0.00457234
0.81732 , -5.48901 , 0.00448247
0.822196 , -5.49363 , 0.0043926
0.82707 , -5.49825 , 0.00430273
0.831944 , -5.50285 , 0.00421284
0.836815 , -5.50745 , 0.00412295
0.841686 , -5.51203 , 0.00403305
0.846555 , -5.51661 , 0.00394315
0.851422 , -5.52118 , 0.00385323
0.856288 , -5.52574 , 0.00376331
0.861153 , -5.53029 , 0.00367339
0.866016 , -5.53483 , 0.00358346
0.870878 , -5.53936 , 0.00349352
0.875738 , -5.54388 , 0.00340358
0.880597 , -5.54839 , 0.00331363
0.885454 , -5.55289 , 0.00322368
0.89031 , -5.55739 , 0.00313372
0.895165 , -5.56187 , 0.00304376
0.900018 , -5.56635 , 0.00295379
0.904869 , -5.57081 , 0.00286381
0.909719 , -5.57527 , 0.00277383
0.914568 , -5.57972 , 0.00268385
0.919415 , -5.58416 , 0.00259386
0.92426 , -5.58859 , 0.00250387
0.929104 , -5.59301 , 0.00241388
0.933947 , -5.59742 , 0.00232388
0.938788 , -5.60182 , 0.00223388
0.943627 , -5.60622 , 0.00214387
