x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380463 , 0.00744396 , 2.31829e-005
-0.00381064 , 0.00744798 , 2.33358e-005
-0.00381664 , 0.007452 , 2.34887e-005
-0.00382265 , 0.007456 , 2.36415e-005
-0.00382866 , 0.00746 , 2.37944e-005
-0.00383466 , 0.00746398 , 2.39474e-005
-0.00384066 , 0.00746796 , 2.41003e-005
-0.00384667 , 0.00747193 , 2.42533e-005
-0.00385267 , 0.00747589 , 2.44062e-005
-0.00385867 , 0.00747983 , 2.45592e-005
-0.00386467 , 0.00748377 , 2.47122e-005
-0.00387067 , 0.0074877 , 2.48652e-005
-0.00387667 , 0.00749163 , 2.50183e-005
-0.00388267 , 0.00749554 , 2.51713e-005
-0.00388866 , 0.00749944 , 2.53244e-005
-0.00389466 , 0.00750334 , 2.54775e-005
-0.00390065 , 0.00750722 , 2.56306e-005
-0.00390665 , 0.0075111 , 2.57837e-005
-0.00391264 , 0.00751496 , 2.59368e-005
-0.00391864 , 0.00751882 , 2.60899e-005
-0.00392463 , 0.00752267 , 2.62431e-005
-0.00393062 , 0.00752651 , 2.63963e-005
-0.00393661 , 0.00753034 , 2.65494e-005
-0.0039426 , 0.00753416 , 2.67026e-005
-0.00394859 , 0.00753797 , 2.68558e-005
-0.00395458 , 0.00754177 , 2.70091e-005
-0.00396057 , 0.00754556 , 2.71623e-005
-0.00396655 , 0.00754935 , 2.73155e-005
-0.00397254 , 0.00755312 , 2.74688e-005
-0.00397852 , 0.00755688 , 2.7622e-005
-0.00398451 , 0.00756064 , 2.77753e-005
-0.00399049 , 0.00756439 , 2.79286e-005
-0.00399648 , 0.00756813 , 2.80819e-005
-0.00400246 , 0.00757185 , 2.82352e-005
-0.00400844 , 0.00757557 , 2.83885e-005
-0.00401442 , 0.00757928 , 2.85419e-005
-0.0040204 , 0.00758298 , 2.86952e-005
-0.00402638 , 0.00758668 , 2.88485e-005
-0.00403236 , 0.00759036 , 2.90019e-005
-0.00403834 , 0.00759403 , 2.91552e-005
-0.00404431 , 0.0075977 , 2.93086e-005
-0.00405029 , 0.00760135 , 2.9462e-005
-0.00405626 , 0.007605 , 2.96154e-005
-0.00406224 , 0.00760863 , 2.97688e-005
-0.00406821 , 0.00761226 , 2.99222e-005
-0.00407418 , 0.00761588 , 3.00756e-005
-0.00408016 , 0.00761949 , 3.0229e-005
-0.00408613 , 0.00762309 , 3.03824e-005
-0.0040921 , 0.00762668 , 3.05359e-005
-0.00409807 , 0.00763026 , 3.06893e-005
-0.00410404 , 0.00763383 , 3.08427e-005
-0.00411001 , 0.0076374 , 3.09962e-005
-0.00411597 , 0.00764095 , 3.11496e-005
-0.00412194 , 0.00764449 , 3.13031e-005
-0.00412791 , 0.00764803 , 3.14565e-005
-0.00413387 , 0.00765156 , 3.161e-005
-0.00413984 , 0.00765507 , 3.17635e-005
-0.0041458 , 0.00765858 , 3.19169e-005
-0.00415176 , 0.00766208 , 3.20704e-005
-0.00415772 , 0.00766557 , 3.22239e-005
-0.00416369 , 0.00766905 , 3.23774e-005
-0.00416965 , 0.00767252 , 3.25309e-005
-0.00417561 , 0.00767598 , 3.26844e-005
-0.00418156 , 0.00767943 , 3.28379e-005
-0.00418752 , 0.00768288 , 3.29913e-005
-0.00419348 , 0.00768631 , 3.31448e-005
-0.00419944 , 0.00768973 , 3.32983e-005
-0.00420539 , 0.00769315 , 3.34518e-005
-0.00421134 , 0.00769655 , 3.36053e-005
-0.0042173 , 0.00769995 , 3.37588e-005
-0.00422325 , 0.00770334 , 3.39123e-005
-0.0042292 , 0.00770672 , 3.40658e-005
-0.00423515 , 0.00771008 , 3.42193e-005
-0.0042411 , 0.00771344 , 3.43729e-005
-0.00424705 , 0.00771679 , 3.45264e-005
-0.004253 , 0.00772013 , 3.46799e-005
-0.00425895 , 0.00772346 , 3.48334e-005
-0.00426489 , 0.00772679 , 3.49869e-005
-0.00427084 , 0.0077301 , 3.51404e-005
-0.00427678 , 0.0077334 , 3.52939e-005
-0.00428273 , 0.0077367 , 3.54473e-005
-0.00428867 , 0.00773998 , 3.56008e-005
-0.00429461 , 0.00774326 , 3.57543e-005
-0.00430055 , 0.00774652 , 3.59078e-005
-0.00430649 , 0.00774978 , 3.60613e-005
-0.00431243 , 0.00775303 , 3.62148e-005
-0.00431836 , 0.00775626 , 3.63683e-005
-0.0043243 , 0.00775949 , 3.65217e-005
-0.00433024 , 0.00776271 , 3.66752e-005
-0.00433617 , 0.00776592 , 3.68287e-005
-0.0043421 , 0.00776912 , 3.69822e-005
-0.00434803 , 0.00777231 , 3.71356e-005
-0.00435397 , 0.00777549 , 3.72891e-005
-0.0043599 , 0.00777867 , 3.74425e-005
-0.00436582 , 0.00778183 , 3.7596e-005
-0.00437175 , 0.00778498 , 3.77494e-005
-0.00437768 , 0.00778813 , 3.79028e-005
-0.0043836 , 0.00779126 , 3.80563e-005
-0.00438953 , 0.00779438 , 3.82097e-005
-0.00439545 , 0.0077975 , 3.83631e-005
-0.00440137 , 0.00780061 , 3.85165e-005
-0.00440729 , 0.0078037 , 3.86699e-005
-0.00441321 , 0.00780679 , 3.88233e-005
-0.00441913 , 0.00780987 , 3.89767e-005
-0.00442505 , 0.00781294 , 3.91301e-005
-0.00443096 , 0.007816 , 3.92834e-005
-0.00443687 , 0.00781904 , 3.94368e-005
-0.00444279 , 0.00782208 , 3.95902e-005
-0.0044487 , 0.00782511 , 3.97435e-005
-0.00445461 , 0.00782814 , 3.98969e-005
-0.00446052 , 0.00783115 , 4.00502e-005
-0.00446643 , 0.00783415 , 4.02035e-005
-0.00447233 , 0.00783714 , 4.03568e-005
-0.00447824 , 0.00784013 , 4.05101e-005
-0.00448414 , 0.0078431 , 4.06634e-005
-0.00449004 , 0.00784606 , 4.08167e-005
-0.00449594 , 0.00784902 , 4.097e-005
-0.00450184 , 0.00785196 , 4.11232e-005
-0.00450774 , 0.0078549 , 4.12765e-005
-0.00451363 , 0.00785782 , 4.14297e-005
-0.00451953 , 0.00786074 , 4.15829e-005
-0.00452542 , 0.00786365 , 4.17362e-005
-0.00453131 , 0.00786655 , 4.18894e-005
-0.0045372 , 0.00786943 , 4.20425e-005
-0.00454309 , 0.00787231 , 4.21957e-005
-0.00454898 , 0.00787518 , 4.23489e-005
