t, rx, ry, rz
0, 1, 0, 0
0.002737476, 1, 0.017200069, 0
0.0054749521, 0.99970416, 0.034400139, 0
0.0082124281, 0.9991126, 0.051595122, 0
0.010949904, 0.99822556, 0.068779937, 0
0.01368738, 0.99704333, 0.085949508, 0
0.016424856, 0.9955663, 0.10309877, 0
0.019162332, 0.99379496, 0.12022266, 0
0.021899808, 0.99172988, 0.13731612, 0
0.024637284, 0.9893717, 0.15437414, 0
0.02737476, 0.98672118, 0.17139167, 0
0.030112237, 0.98377913, 0.18836372, 0
0.032849713, 0.98054648, 0.20528529, 0
0.035587189, 0.97702421, 0.2221514, 0
0.038324665, 0.97321343, 0.23895712, 0
0.041062141, 0.96911529, 0.25569749, 0
0.043799617, 0.96473106, 0.27236762, 0
0.046537093, 0.96006208, 0.28896262, 0
0.049274569, 0.95510977, 0.30547763, 0
0.052012045, 0.94987564, 0.32190782, 0
0.054749521, 0.94436129, 0.33824838, 0
0.057486997, 0.93856839, 0.35449454, 0
0.060224473, 0.93249869, 0.37064156, 0
0.062961949, 0.92615405, 0.38668474, 0
0.065699425, 0.91953637, 0.40261939, 0
0.068436901, 0.91264767, 0.41844088, 0
0.071174377, 0.90549002, 0.43414461, 0
0.073911853, 0.89806559, 0.44972603, 0
0.076649329, 0.89037661, 0.46518061, 0
0.079386805, 0.8824254, 0.48050387, 0
0.082124281, 0.87421436, 0.49569138, 0
0.084861757, 0.86574597, 0.51073876, 0
0.087599234, 0.85702276, 0.52564165, 0
0.09033671, 0.84804736, 0.54039576, 0
0.093074186, 0.83882246, 0.55499685, 0
0.095811662, 0.82935084, 0.56944072, 0
0.098549138, 0.81963532, 0.58372322, 0
0.10128661, 0.80967884, 0.59784027, 0
0.10402409, 0.79948436, 0.61178782, 0
0.10676157, 0.78905493, 0.6255619, 0
0.10949904, 0.77839368, 0.63915858, 0
0.11223652, 0.76750379, 0.652574, 0
0.11497399, 0.75638851, 0.66580434, 0
0.11771147, 0.74505116, 0.67884586, 0
0.12044895, 0.73349512, 0.69169488, 0
0.12318642, 0.72172382, 0.70434777, 0
0.1259239, 0.70974077, 0.71680098, 0
0.12866137, 0.69754953, 0.72905102, 0
0.13139885, 0.68515373, 0.74109445, 0
0.13413633, 0.67255703, 0.75292792, 0
0.1368738, 0.65976318, 0.76454814, 0
0.13961128, 0.64677597, 0.77595189, 0
0.14234875, 0.63359923, 0.78713601, 0
0.14508623, 0.62023687, 0.79809743, 0
0.14782371, 0.60669282, 0.80883314, 0
0.15056118, 0.59297108, 0.81934021, 0
0.15329866, 0.57907569, 0.82961577, 0
0.15603613, 0.56501075, 0.83965704, 0
0.15877361, 0.55078037, 0.84946131, 0
0.16151109, 0.53638875, 0.85902595, 0
0.16424856, 0.52184009, 0.8683484, 0
0.16698604, 0.50713866, 0.87742618, 0
0.16972351, 0.49228875, 0.8862569, 0
0.17246099, 0.47729471, 0.89483823, 0
0.17519847, 0.46216089, 0.90316793, 0
0.17793594, 0.4468917, 0.91124385, 0
0.18067342, 0.43149158, 0.91906389, 0
0.1834109, 0.41596501, 0.92662608, 0
0.18614837, 0.40031647, 0.93392849, 0
0.18888585, 0.38455049, 0.94096928, 0
0.19162332, 0.36867162, 0.94774671, 0
0.1943608, 0.35268444, 0.95425911, 0
0.19709828, 0.33659355, 0.9605049, 0
0.19983575, 0.32040357, 0.96648258, 0
0.20257323, 0.30411914, 0.97219072, 0
0.2053107, 0.28774491, 0.97762801, 0
0.20804818, 0.27128556, 0.98279319, 0
0.21078566, 0.25474578, 0.98768509, 0
0.21352313, 0.23813028, 0.99230266, 0
0.21626061, 0.22144375, 0.99664488, 0
0.21899808, 0.20469093, 1.0007109, 0
0.22173556, 0.18787656, 1.0044998, 0
0.22447304, 0.17100535, 1.0080109, 0
0.22721051, 0.15408207, 1.0112435, 0
0.22994799, 0.13711145, 1.0141971, 0
0.23268546, 0.12009824, 1.0168712, 0
0.23542294, 0.10304719, 1.0192654, 0
0.23816042, 0.08596304, 1.0213794, 0
0.24089789, 0.06885054, 1.0232129, 0
0.24363537, 0.051714423, 1.0247658, 0
0.24637284, 0.034559421, 1.0260381, 0
0.24911032, 0.017390256, 1.0270297, 0
0.2518478, 0.0002116424, 1.0277408, 0
0.25458527, -0.016971719, 1.0281715, 0
0.25732275, -0.034155137, 1.0283221, 0
