x , y , z
1 , 0 , 0
1.00037 , 0.0171555 , 0
1.00045 , 0.034306 , 0
1.00023 , 0.0514464 , 0
0.999724 , 0.0685717 , 0
0.998922 , 0.0856769 , 0
0.997828 , 0.102757 , 0
0.996442 , 0.119807 , 0
0.994766 , 0.136823 , 0
0.9928 , 0.153798 , 0
0.990546 , 0.170729 , 0
0.988004 , 0.18761 , 0
0.985176 , 0.204437 , 0
0.982062 , 0.221204 , 0
0.978665 , 0.237908 , 0
0.974986 , 0.254543 , 0
0.971026 , 0.271105 , 0
0.966787 , 0.287589 , 0
0.96227 , 0.30399 , 0
0.957477 , 0.320304 , 0
0.95241 , 0.336526 , 0
0.947071 , 0.352653 , 0
0.941461 , 0.368678 , 0
0.935582 , 0.384598 , 0
0.929438 , 0.400409 , 0
0.923029 , 0.416106 , 0
0.916358 , 0.431685 , 0
0.909427 , 0.447141 , 0
0.902238 , 0.462471 , 0
0.894795 , 0.47767 , 0
0.887099 , 0.492734 , 0
0.879152 , 0.507659 , 0
0.870958 , 0.522441 , 0
0.862519 , 0.537076 , 0
0.853838 , 0.551561 , 0
0.844917 , 0.56589 , 0
0.835759 , 0.580061 , 0
0.826367 , 0.594069 , 0
0.816744 , 0.607912 , 0
0.806893 , 0.621585 , 0
0.796818 , 0.635084 , 0
0.78652 , 0.648406 , 0
0.776003 , 0.661548 , 0
0.765271 , 0.674507 , 0
0.754326 , 0.687277 , 0
0.743172 , 0.699858 , 0
0.731812 , 0.712244 , 0
0.72025 , 0.724433 , 0
0.708488 , 0.736422 , 0
0.696531 , 0.748208 , 0
0.684381 , 0.759787 , 0
0.672043 , 0.771157 , 0
0.65952 , 0.782314 , 0
0.646816 , 0.793257 , 0
0.633934 , 0.803981 , 0
0.620877 , 0.814484 , 0
0.607651 , 0.824764 , 0
0.594257 , 0.834818 , 0
0.580701 , 0.844643 , 0
0.566986 , 0.854237 , 0
0.553116 , 0.863598 , 0
0.539095 , 0.872722 , 0
0.524927 , 0.881609 , 0
0.510615 , 0.890254 , 0
0.496165 , 0.898657 , 0
0.481579 , 0.906816 , 0
0.466862 , 0.914727 , 0
0.452018 , 0.922389 , 0
0.437051 , 0.929801 , 0
0.421965 , 0.93696 , 0
0.406765 , 0.943864 , 0
0.391454 , 0.950512 , 0
0.376037 , 0.956903 , 0
0.360518 , 0.963034 , 0
0.344901 , 0.968903 , 0
0.329191 , 0.974511 , 0
0.313392 , 0.979854 , 0
0.297508 , 0.984932 , 0
0.281544 , 0.989744 , 0
0.265503 , 0.994288 , 0
0.24939 , 0.998563 , 0
0.23321 , 1.00257 , 0
0.216968 , 1.0063 , 0
0.200666 , 1.00977 , 0
0.18431 , 1.01295 , 0
0.167905 , 1.01587 , 0
0.151454 , 1.01851 , 0
0.134962 , 1.02088 , 0
0.118434 , 1.02297 , 0
0.101874 , 1.02479 , 0
0.0852863 , 1.02633 , 0
0.0686757 , 1.02759 , 0
0.0520465 , 1.02857 , 0
0.0354033 , 1.02928 , 0
0.0187506 , 1.02971 , 0
0.00209282 , 1.02986 , 0
-0.0145655 , 1.02973 , 0
-0.03122 , 1.02933 , 0
-0.047866 , 1.02865 , 0
-0.064499 , 1.02769 , 0
-0.0811147 , 1.02645 , 0
-0.0977085 , 1.02494 , 0
-0.114276 , 1.02315 , 0
-0.130812 , 1.02108 , 0
-0.147314 , 1.01874 , 0
-0.163775 , 1.01612 , 0
-0.180192 , 1.01323 , 0
-0.19656 , 1.01006 , 0
-0.212876 , 1.00662 , 0
-0.229133 , 1.00291 , 0
-0.245329 , 0.998925 , 0
-0.261458 , 0.994671 , 0
-0.277516 , 0.990147 , 0
-0.293499 , 0.985355 , 0
-0.309403 , 0.980295 , 0
-0.325223 , 0.97497 , 0
-0.340954 , 0.96938 , 0
-0.356593 , 0.963527 , 0
-0.372134 , 0.957412 , 0
-0.387575 , 0.951036 , 0
-0.40291 , 0.944402 , 0
-0.418135 , 0.937511 , 0
-0.433247 , 0.930364 , 0
-0.44824 , 0.922963 , 0
-0.463112 , 0.915311 , 0
-0.477856 , 0.907409 , 0
-0.49247 , 0.899259 , 0
-0.50695 , 0.890863 , 0
-0.52129 , 0.882223 , 0
-0.535488 , 0.873342 , 0
-0.549539 , 0.864221 , 0
-0.56344 , 0.854863 , 0
-0.577185 , 0.84527 , 0
-0.590772 , 0.835445 , 0
-0.604197 , 0.825391 , 0
-0.617455 , 0.815109 , 0
-0.630543 , 0.804602 , 0
-0.643457 , 0.793873 , 0
-0.656193 , 0.782925 , 0
-0.668748 , 0.771761 , 0
-0.681118 , 0.760383 , 0
-0.693299 , 0.748794 , 0
-0.705288 , 0.736998 , 0
-0.717081 , 0.724997 , 0
-0.728674 , 0.712794 , 0
-0.740065 , 0.700394 , 0
-0.75125 , 0.687798 , 0
-0.762225 , 0.67501 , 0
-0.772988 , 0.662034 , 0
-0.783534 , 0.648872 , 0
-0.793861 , 0.63553 , 0
-0.803966 , 0.622009 , 0
-0.813845 , 0.608313 , 0
-0.823495 , 0.594447 , 0
-0.832913 , 0.580413 , 0
-0.842097 , 0.566216 , 0
-0.851044 , 0.551859 , 0
-0.85975 , 0.537346 , 0
-0.868213 , 0.522681 , 0
-0.87643 , 0.507869 , 0
-0.884399 , 0.492912 , 0
-0.892117 , 0.477815 , 0
-0.89958 , 0.462583 , 0
-0.906788 , 0.447219 , 0
-0.913737 , 0.431727 , 0
-0.920426 , 0.416112 , 0
-0.926851 , 0.400378 , 0
-0.93301 , 0.384529 , 0
-0.938902 , 0.36857 , 0
-0.944525 , 0.352506 , 0
-0.949876 , 0.336339 , 0
-0.954953 , 0.320076 , 0
-0.959755 , 0.303721 , 0
-0.964279 , 0.287278 , 0
-0.968524 , 0.270752 , 0
-0.972489 , 0.254147 , 0
-0.976172 , 0.237469 , 0
-0.979571 , 0.220721 , 0
-0.982685 , 0.203909 , 0
-0.985512 , 0.187038 , 0
-0.988051 , 0.170112 , 0
-0.990302 , 0.153137 , 0
-0.992262 , 0.136117 , 0
-0.993932 , 0.119056 , 0
-0.995309 , 0.101961 , 0
-0.996394 , 0.0848357 , 0
-0.997185 , 0.0676854 , 0
-0.997681 , 0.0505151 , 0
-0.997883 , 0.0333299 , 0
-0.997789 , 0.0161349 , 0
-0.997399 , -0.00106499 , 0
-0.996713 , -0.0182645 , 0
-0.995731 , -0.0354586 , 0
-0.994451 , -0.0526422 , 0
-0.992875 , -0.06981 , 0
-0.991003 , -0.0869569 , 0
-0.988833 , -0.104078 , 0
-0.986367 , -0.121168 , 0
-0.983605 , -0.138221 , 0
-0.980547 , -0.155233 , 0
-0.977194 , -0.172198 , 0
-0.973546 , -0.189111 , 0
-0.969604 , -0.205967 , 0
-0.965369 , -0.22276 , 0
-0.960841 , -0.239486 , 0
-0.956021 , -0.25614 , 0
-0.950911 , -0.272715 , 0
-0.945511 , -0.289208 , 0
-0.939823 , -0.305612 , 0
-0.933848 , -0.321923 , 0
-0.927587 , -0.338136 , 0
-0.921042 , -0.354245 , 0
-0.914215 , -0.370245 , 0
-0.907107 , -0.386132 , 0
-0.89972 , -0.4019 , 0
-0.892056 , -0.417544 , 0
-0.884117 , -0.43306 , 0
-0.875905 , -0.448441 , 0
-0.867422 , -0.463684 , 0
-0.85867 , -0.478783 , 0
-0.849652 , -0.493734 , 0
-0.84037 , -0.508532 , 0
-0.830827 , -0.523171 , 0
-0.821025 , -0.537647 , 0
-0.810967 , -0.551956 , 0
-0.800655 , -0.566093 , 0
-0.790094 , -0.580052 , 0
-0.779285 , -0.59383 , 0
-0.768232 , -0.607422 , 0
-0.756938 , -0.620823 , 0
-0.745407 , -0.63403 , 0
-0.73364 , -0.647036 , 0
-0.721643 , -0.65984 , 0
-0.709419 , -0.672435 , 0
-0.69697 , -0.684818 , 0
-0.684301 , -0.696985 , 0
-0.671416 , -0.708931 , 0
-0.658319 , -0.720653 , 0
-0.645012 , -0.732146 , 0
-0.631502 , -0.743407 , 0
-0.61779 , -0.754432 , 0
-0.603882 , -0.765217 , 0
-0.589782 , -0.775759 , 0
-0.575495 , -0.786054 , 0
-0.561023 , -0.796098 , 0
-0.546373 , -0.805888 , 0
-0.531549 , -0.815421 , 0
-0.516554 , -0.824694 , 0
-0.501394 , -0.833702 , 0
-0.486074 , -0.842444 , 0
-0.470598 , -0.850916 , 0
-0.454972 , -0.859115 , 0
-0.439199 , -0.867038 , 0
-0.423285 , -0.874684 , 0
-0.407236 , -0.882048 , 0
-0.391055 , -0.889129 , 0
-0.374749 , -0.895924 , 0
-0.358322 , -0.90243 , 0
-0.34178 , -0.908646 , 0
-0.325127 , -0.91457 , 0
-0.30837 , -0.920198 , 0
-0.291514 , -0.92553 , 0
-0.274563 , -0.930563 , 0
-0.257524 , -0.935297 , 0
-0.240402 , -0.939728 , 0
-0.223202 , -0.943855 , 0
-0.20593 , -0.947678 , 0
-0.188592 , -0.951195 , 0
-0.171192 , -0.954404 , 0
-0.153737 , -0.957305 , 0
-0.136233 , -0.959896 , 0
-0.118684 , -0.962177 , 0
-0.101097 , -0.964146 , 0
-0.0834775 , -0.965804 , 0
-0.0658308 , -0.967149 , 0
-0.0481628 , -0.968181 , 0
-0.0304792 , -0.9689 , 0
-0.0127858 , -0.969306 , 0
0.00491178 , -0.969398 , 0
0.0226078 , -0.969176 , 0
0.0402964 , -0.968641 , 0
0.057972 , -0.967793 , 0
0.0756289 , -0.966631 , 0
