x , y , z
0.522349 , -5.19358 , 0.00985376
0.52731 , -5.19881 , 0.00976445
0.53227 , -5.20402 , 0.00967513
0.537229 , -5.20922 , 0.00958578
0.542187 , -5.21442 , 0.00949641
0.547144 , -5.2196 , 0.00940703
0.5521 , -5.22477 , 0.00931763
0.557055 , -5.22993 , 0.0092282
0.562008 , -5.23508 , 0.00913876
0.566961 , -5.24022 , 0.0090493
0.571912 , -5.24535 , 0.00895983
0.576862 , -5.25047 , 0.00887033
0.581811 , -5.25558 , 0.00878082
0.586759 , -5.26068 , 0.00869129
0.591705 , -5.26576 , 0.00860174
0.596651 , -5.27084 , 0.00851218
0.601595 , -5.27591 , 0.0084226
0.606538 , -5.28096 , 0.008333
0.61148 , -5.28601 , 0.00824339
0.616421 , -5.29104 , 0.00815376
0.62136 , -5.29607 , 0.00806411
0.626299 , -5.30108 , 0.00797445
0.631236 , -5.30609 , 0.00788478
0.636172 , -5.31108 , 0.00779508
0.641106 , -5.31607 , 0.00770538
0.64604 , -5.32104 , 0.00761566
0.650972 , -5.32601 , 0.00752592
0.655903 , -5.33096 , 0.00743617
0.660833 , -5.3359 , 0.00734641
0.665761 , -5.34084 , 0.00725663
0.670688 , -5.34576 , 0.00716684
0.675614 , -5.35068 , 0.00707704
0.680539 , -5.35558 , 0.00698722
0.685462 , -5.36047 , 0.00689739
0.690384 , -5.36536 , 0.00680755
0.695305 , -5.37023 , 0.00671769
0.700225 , -5.37509 , 0.00662782
0.705143 , -5.37995 , 0.00653794
0.71006 , -5.38479 , 0.00644805
0.714975 , -5.38963 , 0.00635814
0.71989 , -5.39445 , 0.00626823
0.724803 , -5.39926 , 0.0061783
0.729714 , -5.40407 , 0.00608836
0.734625 , -5.40886 , 0.00599841
0.739534 , -5.41365 , 0.00590845
0.744442 , -5.41842 , 0.00581848
0.749348 , -5.42319 , 0.0057285
0.754253 , -5.42795 , 0.00563851
0.759157 , -5.43269 , 0.00554851
0.764059 , -5.43743 , 0.0054585
0.76896 , -5.44216 , 0.00536848
0.773859 , -5.44687 , 0.00527845
0.778758 , -5.45158 , 0.00518841
0.783654 , -5.45628 , 0.00509836
0.78855 , -5.46097 , 0.0050083
0.793444 , -5.46565 , 0.00491824
0.798337 , -5.47032 , 0.00482816
0.803228 , -5.47498 , 0.00473808
0.808118 , -5.47963 , 0.00464799
0.813006 , -5.48427 , 0.00455789
0.817893 , -5.4889 , 0.00446778
0.822779 , -5.49352 , 0.00437767
0.827663 , -5.49813 , 0.00428755
0.832546 , -5.50274 , 0.00419742
0.837428 , -5.50733 , 0.00410728
0.842308 , -5.51191 , 0.00401714
0.847186 , -5.51649 , 0.00392699
0.852063 , -5.52106 , 0.00383683
0.856939 , -5.52561 , 0.00374667
0.861813 , -5.53016 , 0.0036565
0.866686 , -5.5347 , 0.00356633
0.871558 , -5.53923 , 0.00347614
0.876428 , -5.54375 , 0.00338596
0.881296 , -5.54826 , 0.00329577
0.886163 , -5.55276 , 0.00320557
0.891028 , -5.55725 , 0.00311536
0.895893 , -5.56173 , 0.00302516
0.900755 , -5.5662 , 0.00293494
0.905616 , -5.57067 , 0.00284473
0.910476 , -5.57512 , 0.0027545
0.915334 , -5.57957 , 0.00266428
0.920191 , -5.58401 , 0.00257405
0.925046 , -5.58844 , 0.00248381
0.929899 , -5.59286 , 0.00239357
0.934752 , -5.59727 , 0.00230333
0.939602 , -5.60167 , 0.00221308
0.944451 , -5.60606 , 0.00212283
0.949299 , -5.61044 , 0.00203258
0.954145 , -5.61482 , 0.00194232
0.95899 , -5.61918 , 0.00185206
0.963833 , -5.62354 , 0.0017618
0.968674 , -5.62789 , 0.00167153
0.973514 , -5.63223 , 0.00158127
0.978353 , -5.63655 , 0.001491
0.98319 , -5.64088 , 0.00140072
0.988025 , -5.64519 , 0.00131045
0.992859 , -5.64949 , 0.00122017
0.997691 , -5.65379 , 0.00112989
1.00252 , -5.65807 , 0.00103961
1.00735 , -5.66235 , 0.000949331
1.01218 , -5.66662 , 0.000859048
1.01701 , -5.67088 , 0.000768764
1.02183 , -5.67513 , 0.000678478
1.02665 , -5.67937 , 0.000588191
1.03147 , -5.6836 , 0.000497904
1.03629 , -5.68783 , 0.000407616
1.04111 , -5.69204 , 0.000317327
1.04593 , -5.69625 , 0.000227038
1.05074 , -5.70045 , 0.000136748
1.05556 , -5.70464 , 4.64587e-005
1.06037 , -5.70882 , -4.38309e-005
1.06518 , -5.713 , -0.00013412
1.06999 , -5.71716 , -0.00022441
1.0748 , -5.72132 , -0.000314698
1.0796 , -5.72546 , -0.000404987
1.0844 , -5.7296 , -0.000495275
1.08921 , -5.73373 , -0.000585561
1.09401 , -5.73786 , -0.000675847
1.09881 , -5.74197 , -0.000766132
1.1036 , -5.74607 , -0.000856416
1.1084 , -5.75017 , -0.000946699
1.11319 , -5.75426 , -0.00103698
1.11799 , -5.75834 , -0.00112726
1.12278 , -5.76241 , -0.00121754
1.12757 , -5.76647 , -0.00130781
1.13235 , -5.77053 , -0.00139809
1.13714 , -5.77458 , -0.00148836
1.14193 , -5.77861 , -0.00157863
1.14671 , -5.78264 , -0.0016689
1.15149 , -5.78667 , -0.00175916
1.15627 , -5.79068 , -0.00184942
1.16105 , -5.79468 , -0.00193968
1.16582 , -5.79868 , -0.00202994
1.1706 , -5.80267 , -0.00212019
1.17537 , -5.80665 , -0.00221044
1.18014 , -5.81062 , -0.00230069
1.18491 , -5.81459 , -0.00239094
1.18968 , -5.81854 , -0.00248118
1.19444 , -5.82249 , -0.00257141
