x , y , z
29.239 , -6.35975 , -0.542876
29.2387 , -6.3582 , -0.542901
29.2385 , -6.35665 , -0.542927
29.2382 , -6.35509 , -0.542953
29.2379 , -6.35354 , -0.542978
29.2376 , -6.35199 , -0.543004
29.2373 , -6.35044 , -0.54303
29.2371 , -6.34888 , -0.543055
29.2368 , -6.34733 , -0.543081
29.2365 , -6.34578 , -0.543107
29.2362 , -6.34423 , -0.543132
29.236 , -6.34267 , -0.543158
29.2357 , -6.34112 , -0.543184
29.2354 , -6.33957 , -0.543209
29.2351 , -6.33801 , -0.543235
29.2348 , -6.33646 , -0.543261
29.2346 , -6.33491 , -0.543286
29.2343 , -6.33336 , -0.543312
29.234 , -6.3318 , -0.543338
29.2337 , -6.33025 , -0.543363
29.2334 , -6.3287 , -0.543389
29.2332 , -6.32715 , -0.543415
29.2329 , -6.32559 , -0.54344
29.2326 , -6.32404 , -0.543466
29.2323 , -6.32249 , -0.543492
29.232 , -6.32093 , -0.543517
29.2318 , -6.31938 , -0.543543
29.2315 , -6.31783 , -0.543569
29.2312 , -6.31628 , -0.543594
29.2309 , -6.31472 , -0.54362
29.2306 , -6.31317 , -0.543646
29.2304 , -6.31162 , -0.543671
29.2301 , -6.31006 , -0.543697
29.2298 , -6.30851 , -0.543722
29.2295 , -6.30696 , -0.543748
29.2292 , -6.3054 , -0.543774
29.229 , -6.30385 , -0.543799
29.2287 , -6.3023 , -0.543825
29.2284 , -6.30075 , -0.543851
29.2281 , -6.29919 , -0.543876
29.2278 , -6.29764 , -0.543902
29.2276 , -6.29609 , -0.543928
29.2273 , -6.29453 , -0.543953
29.227 , -6.29298 , -0.543979
29.2267 , -6.29143 , -0.544004
29.2264 , -6.28987 , -0.54403
29.2261 , -6.28832 , -0.544056
29.2259 , -6.28677 , -0.544081
29.2256 , -6.28521 , -0.544107
29.2253 , -6.28366 , -0.544132
29.225 , -6.28211 , -0.544158
29.2247 , -6.28055 , -0.544184
29.2245 , -6.279 , -0.544209
29.2242 , -6.27745 , -0.544235
29.2239 , -6.27589 , -0.544261
29.2236 , -6.27434 , -0.544286
29.2233 , -6.27279 , -0.544312
29.223 , -6.27123 , -0.544337
29.2228 , -6.26968 , -0.544363
29.2225 , -6.26813 , -0.544389
29.2222 , -6.26657 , -0.544414
29.2219 , -6.26502 , -0.54444
29.2216 , -6.26347 , -0.544465
29.2213 , -6.26191 , -0.544491
29.2211 , -6.26036 , -0.544517
29.2208 , -6.25881 , -0.544542
29.2205 , -6.25725 , -0.544568
29.2202 , -6.2557 , -0.544593
29.2199 , -6.25415 , -0.544619
29.2196 , -6.25259 , -0.544644
29.2194 , -6.25104 , -0.54467
29.2191 , -6.24948 , -0.544696
29.2188 , -6.24793 , -0.544721
29.2185 , -6.24638 , -0.544747
29.2182 , -6.24482 , -0.544772
29.2179 , -6.24327 , -0.544798
29.2177 , -6.24172 , -0.544824
29.2174 , -6.24016 , -0.544849
29.2171 , -6.23861 , -0.544875
29.2168 , -6.23705 , -0.5449
29.2165 , -6.2355 , -0.544926
29.2162 , -6.23395 , -0.544951
29.216 , -6.23239 , -0.544977
29.2157 , -6.23084 , -0.545002
29.2154 , -6.22929 , -0.545028
29.2151 , -6.22773 , -0.545054
29.2148 , -6.22618 , -0.545079
29.2145 , -6.22462 , -0.545105
29.2142 , -6.22307 , -0.54513
29.214 , -6.22152 , -0.545156
29.2137 , -6.21996 , -0.545181
29.2134 , -6.21841 , -0.545207
29.2131 , -6.21685 , -0.545232
29.2128 , -6.2153 , -0.545258
29.2125 , -6.21375 , -0.545284
29.2122 , -6.21219 , -0.545309
29.212 , -6.21064 , -0.545335
29.2117 , -6.20908 , -0.54536
29.2114 , -6.20753 , -0.545386
29.2111 , -6.20598 , -0.545411
29.2108 , -6.20442 , -0.545437
29.2105 , -6.20287 , -0.545462
29.2102 , -6.20131 , -0.545488
29.21 , -6.19976 , -0.545513
29.2097 , -6.1982 , -0.545539
29.2094 , -6.19665 , -0.545564
29.2091 , -6.1951 , -0.54559
29.2088 , -6.19354 , -0.545616
29.2085 , -6.19199 , -0.545641
29.2082 , -6.19043 , -0.545667
29.208 , -6.18888 , -0.545692
29.2077 , -6.18732 , -0.545718
29.2074 , -6.18577 , -0.545743
29.2071 , -6.18422 , -0.545769
29.2068 , -6.18266 , -0.545794
29.2065 , -6.18111 , -0.54582
29.2062 , -6.17955 , -0.545845
29.2059 , -6.178 , -0.545871
29.2057 , -6.17644 , -0.545896
29.2054 , -6.17489 , -0.545922
29.2051 , -6.17333 , -0.545947
29.2048 , -6.17178 , -0.545973
29.2045 , -6.17023 , -0.545998
29.2042 , -6.16867 , -0.546024
29.2039 , -6.16712 , -0.546049
29.2036 , -6.16556 , -0.546075
29.2034 , -6.16401 , -0.5461
29.2031 , -6.16245 , -0.546126
29.2028 , -6.1609 , -0.546151
29.2025 , -6.15934 , -0.546177
29.2022 , -6.15779 , -0.546202
29.2019 , -6.15623 , -0.546228
29.2016 , -6.15468 , -0.546253
29.2013 , -6.15312 , -0.546279
29.201 , -6.15157 , -0.546304
29.2008 , -6.15002 , -0.54633
29.2005 , -6.14846 , -0.546355
29.2002 , -6.14691 , -0.546381
29.1999 , -6.14535 , -0.546406
29.1996 , -6.1438 , -0.546432
29.1993 , -6.14224 , -0.546457
29.199 , -6.14069 , -0.546483
29.1987 , -6.13913 , -0.546508
29.1984 , -6.13758 , -0.546533
29.1982 , -6.13602 , -0.546559
29.1979 , -6.13447 , -0.546584
29.1976 , -6.13291 , -0.54661
29.1973 , -6.13136 , -0.546635
29.197 , -6.1298 , -0.546661
29.1967 , -6.12825 , -0.546686
29.1964 , -6.12669 , -0.546712
29.1961 , -6.12514 , -0.546737
29.1958 , -6.12358 , -0.546763
29.1955 , -6.12203 , -0.546788
29.1953 , -6.12047 , -0.546814
29.195 , -6.11892 , -0.546839
29.1947 , -6.11736 , -0.546864
29.1944 , -6.11581 , -0.54689
29.1941 , -6.11425 , -0.546915
29.1938 , -6.1127 , -0.546941
29.1935 , -6.11114 , -0.546966
29.1932 , -6.10959 , -0.546992
29.1929 , -6.10803 , -0.547017
29.1926 , -6.10648 , -0.547043
29.1924 , -6.10492 , -0.547068
29.1921 , -6.10337 , -0.547093
29.1918 , -6.10181 , -0.547119
29.1915 , -6.10025 , -0.547144
29.1912 , -6.0987 , -0.54717
29.1909 , -6.09714 , -0.547195
29.1906 , -6.09559 , -0.547221
29.1903 , -6.09403 , -0.547246
29.19 , -6.09248 , -0.547272
29.1897 , -6.09092 , -0.547297
29.1894 , -6.08937 , -0.547322
29.1891 , -6.08781 , -0.547348
29.1889 , -6.08626 , -0.547373
29.1886 , -6.0847 , -0.547399
29.1883 , -6.08315 , -0.547424
29.188 , -6.08159 , -0.547449
29.1877 , -6.08003 , -0.547475
29.1874 , -6.07848 , -0.5475
29.1871 , -6.07692 , -0.547526
29.1868 , -6.07537 , -0.547551
29.1865 , -6.07381 , -0.547577
29.1862 , -6.07226 , -0.547602
29.1859 , -6.0707 , -0.547627
29.1856 , -6.06915 , -0.547653
29.1853 , -6.06759 , -0.547678
29.185 , -6.06603 , -0.547704
29.1848 , -6.06448 , -0.547729
29.1845 , -6.06292 , -0.547754
29.1842 , -6.06137 , -0.54778
29.1839 , -6.05981 , -0.547805
29.1836 , -6.05826 , -0.547831
29.1833 , -6.0567 , -0.547856
29.183 , -6.05514 , -0.547881
29.1827 , -6.05359 , -0.547907
29.1824 , -6.05203 , -0.547932
29.1821 , -6.05048 , -0.547957
29.1818 , -6.04892 , -0.547983
29.1815 , -6.04736 , -0.548008
29.1812 , -6.04581 , -0.548034
29.1809 , -6.04425 , -0.548059
29.1806 , -6.0427 , -0.548084
29.1803 , -6.04114 , -0.54811
29.1801 , -6.03959 , -0.548135
29.1798 , -6.03803 , -0.548161
29.1795 , -6.03647 , -0.548186
29.1792 , -6.03492 , -0.548211
29.1789 , -6.03336 , -0.548237
29.1786 , -6.03181 , -0.548262
29.1783 , -6.03025 , -0.548287
29.178 , -6.02869 , -0.548313
29.1777 , -6.02714 , -0.548338
29.1774 , -6.02558 , -0.548363
29.1771 , -6.02402 , -0.548389
29.1768 , -6.02247 , -0.548414
29.1765 , -6.02091 , -0.54844
29.1762 , -6.01936 , -0.548465
29.1759 , -6.0178 , -0.54849
29.1756 , -6.01624 , -0.548516
29.1753 , -6.01469 , -0.548541
29.175 , -6.01313 , -0.548566
29.1747 , -6.01158 , -0.548592
29.1744 , -6.01002 , -0.548617
29.1741 , -6.00846 , -0.548642
29.1738 , -6.00691 , -0.548668
29.1735 , -6.00535 , -0.548693
29.1733 , -6.00379 , -0.548718
29.173 , -6.00224 , -0.548744
29.1727 , -6.00068 , -0.548769
29.1724 , -5.99912 , -0.548794
29.1721 , -5.99757 , -0.54882
29.1718 , -5.99601 , -0.548845
29.1715 , -5.99446 , -0.54887
29.1712 , -5.9929 , -0.548896
29.1709 , -5.99134 , -0.548921
29.1706 , -5.98979 , -0.548946
29.1703 , -5.98823 , -0.548972
29.17 , -5.98667 , -0.548997
29.1697 , -5.98512 , -0.549022
29.1694 , -5.98356 , -0.549048
