x , y , z
12.9729 , -31.3627 , -0.396537
12.9754 , -31.3615 , -0.39739
12.9779 , -31.3602 , -0.398243
12.9805 , -31.3589 , -0.399096
12.983 , -31.3576 , -0.399948
12.9855 , -31.3563 , -0.400801
12.988 , -31.355 , -0.401654
12.9905 , -31.3538 , -0.402507
12.993 , -31.3525 , -0.403359
12.9955 , -31.3512 , -0.404212
12.9981 , -31.3499 , -0.405065
13.0006 , -31.3486 , -0.405918
13.0031 , -31.3474 , -0.40677
13.0056 , -31.3461 , -0.407623
13.0081 , -31.3448 , -0.408476
13.0106 , -31.3435 , -0.409329
13.0131 , -31.3422 , -0.410181
13.0157 , -31.3409 , -0.411034
13.0182 , -31.3397 , -0.411887
13.0207 , -31.3384 , -0.41274
13.0232 , -31.3371 , -0.413592
13.0257 , -31.3358 , -0.414445
13.0282 , -31.3345 , -0.415298
13.0307 , -31.3332 , -0.41615
13.0332 , -31.3319 , -0.417003
13.0358 , -31.3307 , -0.417856
13.0383 , -31.3294 , -0.418708
13.0408 , -31.3281 , -0.419561
13.0433 , -31.3268 , -0.420414
13.0458 , -31.3255 , -0.421266
13.0483 , -31.3242 , -0.422119
13.0508 , -31.3229 , -0.422972
13.0533 , -31.3216 , -0.423825
13.0559 , -31.3204 , -0.424677
13.0584 , -31.3191 , -0.42553
13.0609 , -31.3178 , -0.426383
13.0634 , -31.3165 , -0.427235
13.0659 , -31.3152 , -0.428088
13.0684 , -31.3139 , -0.42894
13.0709 , -31.3126 , -0.429793
13.0734 , -31.3113 , -0.430646
13.0759 , -31.31 , -0.431498
13.0785 , -31.3088 , -0.432351
13.081 , -31.3075 , -0.433204
13.0835 , -31.3062 , -0.434056
13.086 , -31.3049 , -0.434909
13.0885 , -31.3036 , -0.435762
13.091 , -31.3023 , -0.436614
13.0935 , -31.301 , -0.437467
13.096 , -31.2997 , -0.438319
13.0985 , -31.2984 , -0.439172
13.101 , -31.2971 , -0.440025
13.1036 , -31.2958 , -0.440877
13.1061 , -31.2946 , -0.44173
13.1086 , -31.2933 , -0.442582
13.1111 , -31.292 , -0.443435
13.1136 , -31.2907 , -0.444288
13.1161 , -31.2894 , -0.44514
13.1186 , -31.2881 , -0.445993
13.1211 , -31.2868 , -0.446845
13.1236 , -31.2855 , -0.447698
13.1261 , -31.2842 , -0.448551
13.1287 , -31.2829 , -0.449403
13.1312 , -31.2816 , -0.450256
13.1337 , -31.2803 , -0.451108
13.1362 , -31.279 , -0.451961
13.1387 , -31.2777 , -0.452813
13.1412 , -31.2764 , -0.453666
13.1437 , -31.2751 , -0.454519
13.1462 , -31.2738 , -0.455371
13.1487 , -31.2725 , -0.456224
13.1512 , -31.2712 , -0.457076
13.1537 , -31.27 , -0.457929
13.1562 , -31.2687 , -0.458781
13.1588 , -31.2674 , -0.459634
13.1613 , -31.2661 , -0.460486
13.1638 , -31.2648 , -0.461339
13.1663 , -31.2635 , -0.462191
13.1688 , -31.2622 , -0.463044
13.1713 , -31.2609 , -0.463896
13.1738 , -31.2596 , -0.464749
13.1763 , -31.2583 , -0.465601
13.1788 , -31.257 , -0.466454
13.1813 , -31.2557 , -0.467306
13.1838 , -31.2544 , -0.468159
13.1863 , -31.2531 , -0.469011
13.1888 , -31.2518 , -0.469864
13.1913 , -31.2505 , -0.470716
13.1938 , -31.2492 , -0.471569
13.1964 , -31.2479 , -0.472421
13.1989 , -31.2466 , -0.473274
13.2014 , -31.2453 , -0.474126
13.2039 , -31.244 , -0.474979
13.2064 , -31.2427 , -0.475831
13.2089 , -31.2414 , -0.476684
13.2114 , -31.2401 , -0.477536
13.2139 , -31.2388 , -0.478389
13.2164 , -31.2374 , -0.479241
13.2189 , -31.2361 , -0.480093
13.2214 , -31.2348 , -0.480946
13.2239 , -31.2335 , -0.481798
13.2264 , -31.2322 , -0.482651
13.2289 , -31.2309 , -0.483503
13.2314 , -31.2296 , -0.484356
13.2339 , -31.2283 , -0.485208
13.2364 , -31.227 , -0.486061
13.2389 , -31.2257 , -0.486913
13.2415 , -31.2244 , -0.487765
13.244 , -31.2231 , -0.488618
13.2465 , -31.2218 , -0.48947
13.249 , -31.2205 , -0.490323
13.2515 , -31.2192 , -0.491175
13.254 , -31.2179 , -0.492027
13.2565 , -31.2166 , -0.49288
13.259 , -31.2153 , -0.493732
13.2615 , -31.214 , -0.494585
13.264 , -31.2126 , -0.495437
13.2665 , -31.2113 , -0.496289
13.269 , -31.21 , -0.497142
13.2715 , -31.2087 , -0.497994
13.274 , -31.2074 , -0.498846
13.2765 , -31.2061 , -0.499699
13.279 , -31.2048 , -0.500551
13.2815 , -31.2035 , -0.501403
13.284 , -31.2022 , -0.502256
13.2865 , -31.2009 , -0.503108
13.289 , -31.1996 , -0.503961
13.2915 , -31.1983 , -0.504813
13.294 , -31.1969 , -0.505665
13.2965 , -31.1956 , -0.506518
13.299 , -31.1943 , -0.50737
13.3015 , -31.193 , -0.508222
13.304 , -31.1917 , -0.509074
13.3065 , -31.1904 , -0.509927
13.309 , -31.1891 , -0.510779
13.3115 , -31.1878 , -0.511631
13.314 , -31.1864 , -0.512484
13.3165 , -31.1851 , -0.513336
13.319 , -31.1838 , -0.514188
13.3215 , -31.1825 , -0.515041
13.324 , -31.1812 , -0.515893
13.3265 , -31.1799 , -0.516745
13.329 , -31.1786 , -0.517597
13.3315 , -31.1773 , -0.51845
13.334 , -31.1759 , -0.519302
13.3365 , -31.1746 , -0.520154
13.339 , -31.1733 , -0.521007
13.3415 , -31.172 , -0.521859
13.344 , -31.1707 , -0.522711
13.3465 , -31.1694 , -0.523563
13.349 , -31.1681 , -0.524416
13.3515 , -31.1667 , -0.525268
13.354 , -31.1654 , -0.52612
13.3565 , -31.1641 , -0.526972
13.359 , -31.1628 , -0.527825
13.3615 , -31.1615 , -0.528677
13.364 , -31.1602 , -0.529529
13.3665 , -31.1588 , -0.530381
13.369 , -31.1575 , -0.531233
13.3715 , -31.1562 , -0.532086
13.374 , -31.1549 , -0.532938
13.3765 , -31.1536 , -0.53379
13.379 , -31.1523 , -0.534642
13.3815 , -31.1509 , -0.535494
13.384 , -31.1496 , -0.536347
13.3865 , -31.1483 , -0.537199
13.389 , -31.147 , -0.538051
13.3915 , -31.1457 , -0.538903
13.394 , -31.1443 , -0.539755
13.3965 , -31.143 , -0.540608
13.399 , -31.1417 , -0.54146
13.4015 , -31.1404 , -0.542312
13.404 , -31.1391 , -0.543164
13.4065 , -31.1377 , -0.544016
13.409 , -31.1364 , -0.544868
13.4115 , -31.1351 , -0.545721
13.414 , -31.1338 , -0.546573
13.4165 , -31.1324 , -0.547425
13.419 , -31.1311 , -0.548277
13.4215 , -31.1298 , -0.549129
13.424 , -31.1285 , -0.549981
13.4265 , -31.1272 , -0.550833
13.429 , -31.1258 , -0.551685
13.4315 , -31.1245 , -0.552538
13.434 , -31.1232 , -0.55339
13.4365 , -31.1219 , -0.554242
13.439 , -31.1205 , -0.555094
13.4415 , -31.1192 , -0.555946
13.444 , -31.1179 , -0.556798
13.4465 , -31.1166 , -0.55765
13.449 , -31.1152 , -0.558502
13.4515 , -31.1139 , -0.559354
13.454 , -31.1126 , -0.560206
13.4565 , -31.1113 , -0.561058
13.459 , -31.1099 , -0.561911
13.4614 , -31.1086 , -0.562763
13.4639 , -31.1073 , -0.563615
13.4664 , -31.106 , -0.564467
13.4689 , -31.1046 , -0.565319
13.4714 , -31.1033 , -0.566171
13.4739 , -31.102 , -0.567023
13.4764 , -31.1007 , -0.567875
13.4789 , -31.0993 , -0.568727
13.4814 , -31.098 , -0.569579
13.4839 , -31.0967 , -0.570431
13.4864 , -31.0953 , -0.571283
13.4889 , -31.094 , -0.572135
13.4914 , -31.0927 , -0.572987
13.4939 , -31.0914 , -0.573839
13.4964 , -31.09 , -0.574691
13.4989 , -31.0887 , -0.575543
13.5014 , -31.0874 , -0.576395
13.5039 , -31.086 , -0.577247
13.5064 , -31.0847 , -0.578099
13.5088 , -31.0834 , -0.578951
13.5113 , -31.082 , -0.579803
13.5138 , -31.0807 , -0.580655
13.5163 , -31.0794 , -0.581507
13.5188 , -31.0781 , -0.582359
13.5213 , -31.0767 , -0.583211
13.5238 , -31.0754 , -0.584063
13.5263 , -31.0741 , -0.584915
13.5288 , -31.0727 , -0.585767
13.5313 , -31.0714 , -0.586619
13.5338 , -31.0701 , -0.587471
13.5363 , -31.0687 , -0.588323
13.5388 , -31.0674 , -0.589174
13.5413 , -31.0661 , -0.590026
13.5437 , -31.0647 , -0.590878
13.5462 , -31.0634 , -0.59173
13.5487 , -31.0621 , -0.592582
13.5512 , -31.0607 , -0.593434
13.5537 , -31.0594 , -0.594286
13.5562 , -31.0581 , -0.595138
13.5587 , -31.0567 , -0.59599
13.5612 , -31.0554 , -0.596842
13.5637 , -31.054 , -0.597694
13.5662 , -31.0527 , -0.598545
13.5687 , -31.0514 , -0.599397
13.5712 , -31.05 , -0.600249
13.5736 , -31.0487 , -0.601101
13.5761 , -31.0474 , -0.601953
13.5786 , -31.046 , -0.602805
13.5811 , -31.0447 , -0.603657
13.5836 , -31.0434 , -0.604508
13.5861 , -31.042 , -0.60536
13.5886 , -31.0407 , -0.606212
13.5911 , -31.0393 , -0.607064
13.5936 , -31.038 , -0.607916
13.5961 , -31.0367 , -0.608768
13.5985 , -31.0353 , -0.609619
13.601 , -31.034 , -0.610471
13.6035 , -31.0326 , -0.611323
13.606 , -31.0313 , -0.612175
13.6085 , -31.03 , -0.613027
13.611 , -31.0286 , -0.613878
