x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380695 , 0.00743794 , 2.326e-005
-0.00381529 , 0.00743595 , 2.34899e-005
-0.00382362 , 0.00743396 , 2.37198e-005
-0.00383196 , 0.00743197 , 2.39497e-005
-0.00384029 , 0.00742999 , 2.41795e-005
-0.00384863 , 0.007428 , 2.44094e-005
-0.00385697 , 0.00742602 , 2.46393e-005
-0.0038653 , 0.00742403 , 2.48692e-005
-0.00387364 , 0.00742205 , 2.50991e-005
-0.00388198 , 0.00742007 , 2.5329e-005
-0.00389031 , 0.00741809 , 2.55588e-005
-0.00389865 , 0.00741611 , 2.57887e-005
-0.00390699 , 0.00741413 , 2.60186e-005
-0.00391533 , 0.00741215 , 2.62485e-005
-0.00392366 , 0.00741017 , 2.64784e-005
-0.003932 , 0.0074082 , 2.67083e-005
-0.00394034 , 0.00740622 , 2.69382e-005
-0.00394868 , 0.00740424 , 2.7168e-005
-0.00395702 , 0.00740227 , 2.73979e-005
-0.00396536 , 0.0074003 , 2.76278e-005
-0.0039737 , 0.00739832 , 2.78577e-005
-0.00398204 , 0.00739635 , 2.80876e-005
-0.00399039 , 0.00739438 , 2.83175e-005
-0.00399873 , 0.00739241 , 2.85473e-005
-0.00400707 , 0.00739044 , 2.87772e-005
-0.00401541 , 0.00738847 , 2.90071e-005
-0.00402376 , 0.0073865 , 2.9237e-005
-0.0040321 , 0.00738454 , 2.94669e-005
-0.00404045 , 0.00738257 , 2.96968e-005
-0.00404879 , 0.0073806 , 2.99266e-005
-0.00405714 , 0.00737864 , 3.01565e-005
-0.00406548 , 0.00737667 , 3.03864e-005
-0.00407383 , 0.00737471 , 3.06163e-005
-0.00408218 , 0.00737274 , 3.08462e-005
-0.00409053 , 0.00737078 , 3.10761e-005
-0.00409888 , 0.00736882 , 3.1306e-005
-0.00410723 , 0.00736686 , 3.15358e-005
-0.00411558 , 0.0073649 , 3.17657e-005
-0.00412393 , 0.00736294 , 3.19956e-005
-0.00413228 , 0.00736098 , 3.22255e-005
-0.00414063 , 0.00735902 , 3.24554e-005
-0.00414898 , 0.00735706 , 3.26853e-005
-0.00415734 , 0.0073551 , 3.29151e-005
-0.00416569 , 0.00735314 , 3.3145e-005
-0.00417405 , 0.00735118 , 3.33749e-005
-0.0041824 , 0.00734923 , 3.36048e-005
-0.00419076 , 0.00734727 , 3.38347e-005
-0.00419912 , 0.00734532 , 3.40646e-005
-0.00420748 , 0.00734336 , 3.42944e-005
-0.00421583 , 0.00734141 , 3.45243e-005
-0.00422419 , 0.00733945 , 3.47542e-005
-0.00423255 , 0.0073375 , 3.49841e-005
-0.00424091 , 0.00733554 , 3.5214e-005
-0.00424928 , 0.00733359 , 3.54439e-005
-0.00425764 , 0.00733164 , 3.56737e-005
-0.004266 , 0.00732969 , 3.59036e-005
-0.00427437 , 0.00732773 , 3.61335e-005
-0.00428273 , 0.00732578 , 3.63634e-005
-0.0042911 , 0.00732383 , 3.65933e-005
-0.00429946 , 0.00732188 , 3.68232e-005
-0.00430783 , 0.00731993 , 3.7053e-005
-0.0043162 , 0.00731798 , 3.72829e-005
-0.00432457 , 0.00731603 , 3.75128e-005
-0.00433294 , 0.00731408 , 3.77427e-005
-0.00434131 , 0.00731213 , 3.79726e-005
-0.00434968 , 0.00731018 , 3.82025e-005
-0.00435805 , 0.00730823 , 3.84323e-005
-0.00436642 , 0.00730628 , 3.86622e-005
-0.0043748 , 0.00730433 , 3.88921e-005
-0.00438317 , 0.00730239 , 3.9122e-005
-0.00439155 , 0.00730044 , 3.93519e-005
-0.00439993 , 0.00729849 , 3.95818e-005
-0.0044083 , 0.00729654 , 3.98116e-005
-0.00441668 , 0.00729459 , 4.00415e-005
-0.00442506 , 0.00729265 , 4.02714e-005
-0.00443344 , 0.0072907 , 4.05013e-005
-0.00444182 , 0.00728875 , 4.07312e-005
-0.0044502 , 0.0072868 , 4.09611e-005
-0.00445858 , 0.00728486 , 4.11909e-005
-0.00446697 , 0.00728291 , 4.14208e-005
-0.00447535 , 0.00728096 , 4.16507e-005
-0.00448374 , 0.00727901 , 4.18806e-005
-0.00449212 , 0.00727707 , 4.21105e-005
-0.00450051 , 0.00727512 , 4.23404e-005
-0.0045089 , 0.00727317 , 4.25702e-005
-0.00451728 , 0.00727122 , 4.28001e-005
-0.00452567 , 0.00726928 , 4.303e-005
-0.00453406 , 0.00726733 , 4.32599e-005
-0.00454245 , 0.00726538 , 4.34898e-005
-0.00455085 , 0.00726343 , 4.37197e-005
-0.00455924 , 0.00726148 , 4.39496e-005
-0.00456763 , 0.00725954 , 4.41794e-005
-0.00457603 , 0.00725759 , 4.44093e-005
-0.00458442 , 0.00725564 , 4.46392e-005
-0.00459282 , 0.00725369 , 4.48691e-005
-0.00460121 , 0.00725174 , 4.5099e-005
-0.00460961 , 0.00724979 , 4.53289e-005
-0.00461801 , 0.00724784 , 4.55587e-005
-0.00462641 , 0.0072459 , 4.57886e-005
-0.00463481 , 0.00724395 , 4.60185e-005
-0.00464321 , 0.007242 , 4.62484e-005
-0.00465161 , 0.00724005 , 4.64783e-005
-0.00466001 , 0.0072381 , 4.67082e-005
-0.00466841 , 0.00723614 , 4.6938e-005
-0.00467682 , 0.00723419 , 4.71679e-005
-0.00468522 , 0.00723224 , 4.73978e-005
-0.00469363 , 0.00723029 , 4.76277e-005
-0.00470203 , 0.00722834 , 4.78576e-005
-0.00471044 , 0.00722639 , 4.80875e-005
-0.00471885 , 0.00722443 , 4.83173e-005
-0.00472726 , 0.00722248 , 4.85472e-005
-0.00473567 , 0.00722053 , 4.87771e-005
-0.00474408 , 0.00721857 , 4.9007e-005
-0.00475249 , 0.00721662 , 4.92369e-005
-0.0047609 , 0.00721467 , 4.94668e-005
-0.00476931 , 0.00721271 , 4.96967e-005
-0.00477772 , 0.00721076 , 4.99265e-005
-0.00478614 , 0.0072088 , 5.01564e-005
-0.00479455 , 0.00720684 , 5.03863e-005
-0.00480297 , 0.00720489 , 5.06162e-005
-0.00481138 , 0.00720293 , 5.08461e-005
-0.0048198 , 0.00720097 , 5.1076e-005
-0.00482821 , 0.00719901 , 5.13058e-005
-0.00483663 , 0.00719705 , 5.15357e-005
-0.00484505 , 0.00719509 , 5.17656e-005
-0.00485347 , 0.00719313 , 5.19955e-005
-0.00486189 , 0.00719117 , 5.22254e-005
-0.00487031 , 0.00718921 , 5.24553e-005
-0.00487873 , 0.00718725 , 5.26852e-005
-0.00488715 , 0.00718529 , 5.2915e-005
-0.00489557 , 0.00718333 , 5.31449e-005
-0.00490399 , 0.00718136 , 5.33748e-005
-0.00491242 , 0.0071794 , 5.36047e-005
-0.00492084 , 0.00717743 , 5.38346e-005
-0.00492926 , 0.00717547 , 5.40645e-005
-0.00493769 , 0.0071735 , 5.42944e-005
-0.00494611 , 0.00717154 , 5.45242e-005
-0.00495454 , 0.00716957 , 5.47541e-005
-0.00496296 , 0.0071676 , 5.4984e-005
-0.00497139 , 0.00716563 , 5.52139e-005
-0.00497982 , 0.00716366 , 5.54438e-005
-0.00498825 , 0.00716169 , 5.56737e-005
-0.00499667 , 0.00715972 , 5.59035e-005
-0.0050051 , 0.00715775 , 5.61334e-005
-0.00501353 , 0.00715578 , 5.63633e-005
-0.00502196 , 0.00715381 , 5.65932e-005
-0.00503039 , 0.00715183 , 5.68231e-005
-0.00503882 , 0.00714986 , 5.7053e-005
-0.00504725 , 0.00714789 , 5.72829e-005
-0.00505568 , 0.00714591 , 5.75127e-005
-0.00506411 , 0.00714393 , 5.77426e-005
-0.00507254 , 0.00714196 , 5.79725e-005
-0.00508098 , 0.00713998 , 5.82024e-005
-0.00508941 , 0.007138 , 5.84323e-005
-0.00509784 , 0.00713602 , 5.86622e-005
-0.00510627 , 0.00713404 , 5.88921e-005
-0.00511471 , 0.00713206 , 5.91219e-005
-0.00512314 , 0.00713008 , 5.93518e-005
-0.00513157 , 0.0071281 , 5.95817e-005
-0.00514001 , 0.00712611 , 5.98116e-005
-0.00514844 , 0.00712413 , 6.00415e-005
-0.00515688 , 0.00712214 , 6.02714e-005
-0.00516531 , 0.00712016 , 6.05013e-005
-0.00517375 , 0.00711817 , 6.07312e-005
-0.00518218 , 0.00711619 , 6.0961e-005
-0.00519062 , 0.0071142 , 6.11909e-005
-0.00519905 , 0.00711221 , 6.14208e-005
-0.00520749 , 0.00711022 , 6.16507e-005
-0.00521592 , 0.00710823 , 6.18806e-005
-0.00522436 , 0.00710624 , 6.21105e-005
-0.0052328 , 0.00710424 , 6.23404e-005
-0.00524123 , 0.00710225 , 6.25702e-005
-0.00524967 , 0.00710026 , 6.28001e-005
-0.0052581 , 0.00709826 , 6.303e-005
-0.00526654 , 0.00709627 , 6.32599e-005
-0.00527498 , 0.00709427 , 6.34898e-005
-0.00528341 , 0.00709227 , 6.37197e-005
-0.00529185 , 0.00709028 , 6.39496e-005
-0.00530029 , 0.00708828 , 6.41795e-005
-0.00530872 , 0.00708628 , 6.44093e-005
-0.00531716 , 0.00708428 , 6.46392e-005
-0.0053256 , 0.00708228 , 6.48691e-005
