x , y , z
16.2217 , 11.3865 , -0.167864
16.2179 , 11.3872 , -0.167812
16.214 , 11.388 , -0.167759
16.2102 , 11.3887 , -0.167707
16.2063 , 11.3894 , -0.167654
16.2025 , 11.3902 , -0.167601
16.1986 , 11.3909 , -0.167549
16.1948 , 11.3917 , -0.167496
16.1909 , 11.3924 , -0.167444
16.1871 , 11.3931 , -0.167391
16.1832 , 11.3939 , -0.167338
16.1794 , 11.3946 , -0.167286
16.1755 , 11.3954 , -0.167233
16.1717 , 11.3961 , -0.16718
16.1678 , 11.3968 , -0.167128
16.164 , 11.3976 , -0.167075
16.1601 , 11.3983 , -0.167022
16.1563 , 11.399 , -0.16697
16.1524 , 11.3998 , -0.166917
16.1486 , 11.4005 , -0.166864
16.1447 , 11.4012 , -0.166812
16.1409 , 11.402 , -0.166759
16.137 , 11.4027 , -0.166706
16.1331 , 11.4034 , -0.166653
16.1293 , 11.4042 , -0.166601
16.1254 , 11.4049 , -0.166548
16.1216 , 11.4056 , -0.166495
16.1177 , 11.4064 , -0.166442
16.1138 , 11.4071 , -0.16639
16.11 , 11.4078 , -0.166337
16.1061 , 11.4086 , -0.166284
16.1023 , 11.4093 , -0.166231
16.0984 , 11.41 , -0.166179
16.0945 , 11.4108 , -0.166126
16.0907 , 11.4115 , -0.166073
16.0868 , 11.4122 , -0.16602
16.0829 , 11.4129 , -0.165967
16.0791 , 11.4137 , -0.165915
16.0752 , 11.4144 , -0.165862
16.0713 , 11.4151 , -0.165809
16.0675 , 11.4158 , -0.165756
16.0636 , 11.4166 , -0.165703
16.0597 , 11.4173 , -0.16565
16.0559 , 11.418 , -0.165598
16.052 , 11.4187 , -0.165545
16.0481 , 11.4195 , -0.165492
16.0443 , 11.4202 , -0.165439
16.0404 , 11.4209 , -0.165386
16.0365 , 11.4216 , -0.165333
16.0326 , 11.4224 , -0.16528
16.0288 , 11.4231 , -0.165227
16.0249 , 11.4238 , -0.165175
16.021 , 11.4245 , -0.165122
16.0171 , 11.4252 , -0.165069
16.0133 , 11.426 , -0.165016
16.0094 , 11.4267 , -0.164963
16.0055 , 11.4274 , -0.16491
16.0016 , 11.4281 , -0.164857
15.9978 , 11.4288 , -0.164804
15.9939 , 11.4295 , -0.164751
15.99 , 11.4303 , -0.164698
15.9861 , 11.431 , -0.164645
15.9822 , 11.4317 , -0.164592
15.9783 , 11.4324 , -0.164539
15.9745 , 11.4331 , -0.164486
15.9706 , 11.4338 , -0.164433
15.9667 , 11.4346 , -0.16438
15.9628 , 11.4353 , -0.164327
15.9589 , 11.436 , -0.164274
15.955 , 11.4367 , -0.164221
15.9512 , 11.4374 , -0.164168
15.9473 , 11.4381 , -0.164115
15.9434 , 11.4388 , -0.164062
15.9395 , 11.4395 , -0.164009
15.9356 , 11.4403 , -0.163956
15.9317 , 11.441 , -0.163903
15.9278 , 11.4417 , -0.16385
15.9239 , 11.4424 , -0.163797
15.92 , 11.4431 , -0.163744
15.9162 , 11.4438 , -0.163691
15.9123 , 11.4445 , -0.163638
15.9084 , 11.4452 , -0.163585
15.9045 , 11.4459 , -0.163532
15.9006 , 11.4466 , -0.163478
15.8967 , 11.4473 , -0.163425
15.8928 , 11.448 , -0.163372
15.8889 , 11.4487 , -0.163319
15.885 , 11.4494 , -0.163266
15.8811 , 11.4502 , -0.163213
15.8772 , 11.4509 , -0.16316
15.8733 , 11.4516 , -0.163106
15.8694 , 11.4523 , -0.163053
15.8655 , 11.453 , -0.163
15.8616 , 11.4537 , -0.162947
15.8577 , 11.4544 , -0.162894
15.8538 , 11.4551 , -0.162841
15.8499 , 11.4558 , -0.162787
15.846 , 11.4565 , -0.162734
15.8421 , 11.4572 , -0.162681
15.8382 , 11.4579 , -0.162628
15.8343 , 11.4586 , -0.162575
15.8304 , 11.4593 , -0.162521
15.8265 , 11.46 , -0.162468
15.8226 , 11.4607 , -0.162415
15.8187 , 11.4614 , -0.162362
15.8147 , 11.4621 , -0.162308
15.8108 , 11.4628 , -0.162255
15.8069 , 11.4634 , -0.162202
15.803 , 11.4641 , -0.162149
15.7991 , 11.4648 , -0.162095
15.7952 , 11.4655 , -0.162042
15.7913 , 11.4662 , -0.161989
15.7874 , 11.4669 , -0.161936
15.7835 , 11.4676 , -0.161882
15.7795 , 11.4683 , -0.161829
15.7756 , 11.469 , -0.161776
15.7717 , 11.4697 , -0.161722
15.7678 , 11.4704 , -0.161669
15.7639 , 11.4711 , -0.161616
15.76 , 11.4718 , -0.161562
15.756 , 11.4725 , -0.161509
15.7521 , 11.4731 , -0.161456
15.7482 , 11.4738 , -0.161402
15.7443 , 11.4745 , -0.161349
15.7404 , 11.4752 , -0.161296
15.7365 , 11.4759 , -0.161242
15.7325 , 11.4766 , -0.161189
15.7286 , 11.4773 , -0.161135
15.7247 , 11.478 , -0.161082
15.7208 , 11.4786 , -0.161029
15.7168 , 11.4793 , -0.160975
15.7129 , 11.48 , -0.160922
15.709 , 11.4807 , -0.160868
15.7051 , 11.4814 , -0.160815
15.7011 , 11.4821 , -0.160762
15.6972 , 11.4827 , -0.160708
15.6933 , 11.4834 , -0.160655
15.6894 , 11.4841 , -0.160601
15.6854 , 11.4848 , -0.160548
15.6815 , 11.4855 , -0.160494
15.6776 , 11.4862 , -0.160441
15.6736 , 11.4868 , -0.160387
15.6697 , 11.4875 , -0.160334
15.6658 , 11.4882 , -0.16028
15.6618 , 11.4889 , -0.160227
15.6579 , 11.4895 , -0.160173
15.654 , 11.4902 , -0.16012
15.65 , 11.4909 , -0.160066
15.6461 , 11.4916 , -0.160013
15.6422 , 11.4923 , -0.159959
15.6382 , 11.4929 , -0.159906
15.6343 , 11.4936 , -0.159852
15.6304 , 11.4943 , -0.159799
15.6264 , 11.495 , -0.159745
15.6225 , 11.4956 , -0.159692
15.6185 , 11.4963 , -0.159638
15.6146 , 11.497 , -0.159584
15.6107 , 11.4976 , -0.159531
15.6067 , 11.4983 , -0.159477
15.6028 , 11.499 , -0.159424
15.5988 , 11.4997 , -0.15937
15.5949 , 11.5003 , -0.159316
15.5909 , 11.501 , -0.159263
15.587 , 11.5017 , -0.159209
15.5831 , 11.5023 , -0.159156
15.5791 , 11.503 , -0.159102
15.5752 , 11.5037 , -0.159048
15.5712 , 11.5044 , -0.158995
15.5673 , 11.505 , -0.158941
15.5633 , 11.5057 , -0.158887
15.5594 , 11.5064 , -0.158834
15.5554 , 11.507 , -0.15878
15.5515 , 11.5077 , -0.158726
15.5475 , 11.5083 , -0.158673
15.5436 , 11.509 , -0.158619
15.5396 , 11.5097 , -0.158565
15.5357 , 11.5103 , -0.158512
15.5317 , 11.511 , -0.158458
15.5278 , 11.5117 , -0.158404
15.5238 , 11.5123 , -0.15835
15.5198 , 11.513 , -0.158297
15.5159 , 11.5137 , -0.158243
15.5119 , 11.5143 , -0.158189
15.508 , 11.515 , -0.158135
15.504 , 11.5156 , -0.158082
15.5001 , 11.5163 , -0.158028
15.4961 , 11.517 , -0.157974
15.4921 , 11.5176 , -0.15792
15.4882 , 11.5183 , -0.157867
15.4842 , 11.5189 , -0.157813
15.4803 , 11.5196 , -0.157759
15.4763 , 11.5202 , -0.157705
15.4723 , 11.5209 , -0.157651
15.4684 , 11.5216 , -0.157598
15.4644 , 11.5222 , -0.157544
15.4604 , 11.5229 , -0.15749
15.4565 , 11.5235 , -0.157436
15.4525 , 11.5242 , -0.157382
15.4485 , 11.5248 , -0.157328
15.4446 , 11.5255 , -0.157275
15.4406 , 11.5261 , -0.157221
15.4366 , 11.5268 , -0.157167
15.4327 , 11.5274 , -0.157113
15.4287 , 11.5281 , -0.157059
15.4247 , 11.5287 , -0.157005
15.4208 , 11.5294 , -0.156951
15.4168 , 11.53 , -0.156897
15.4128 , 11.5307 , -0.156843
15.4088 , 11.5313 , -0.15679
15.4049 , 11.532 , -0.156736
15.4009 , 11.5326 , -0.156682
15.3969 , 11.5333 , -0.156628
15.3929 , 11.5339 , -0.156574
15.389 , 11.5346 , -0.15652
15.385 , 11.5352 , -0.156466
15.381 , 11.5359 , -0.156412
15.377 , 11.5365 , -0.156358
15.3731 , 11.5372 , -0.156304
15.3691 , 11.5378 , -0.15625
15.3651 , 11.5384 , -0.156196
15.3611 , 11.5391 , -0.156142
15.3571 , 11.5397 , -0.156088
15.3531 , 11.5404 , -0.156034
15.3492 , 11.541 , -0.15598
15.3452 , 11.5417 , -0.155926
15.3412 , 11.5423 , -0.155872
15.3372 , 11.5429 , -0.155818
15.3332 , 11.5436 , -0.155764
15.3292 , 11.5442 , -0.15571
15.3253 , 11.5448 , -0.155656
15.3213 , 11.5455 , -0.155602
15.3173 , 11.5461 , -0.155548
15.3133 , 11.5468 , -0.155494
15.3093 , 11.5474 , -0.15544
15.3053 , 11.548 , -0.155386
15.3013 , 11.5487 , -0.155332
15.2973 , 11.5493 , -0.155277
15.2933 , 11.5499 , -0.155223
15.2893 , 11.5506 , -0.155169
15.2854 , 11.5512 , -0.155115
15.2814 , 11.5518 , -0.155061
15.2774 , 11.5525 , -0.155007
15.2734 , 11.5531 , -0.154953
15.2694 , 11.5537 , -0.154899
15.2654 , 11.5544 , -0.154844
15.2614 , 11.555 , -0.15479
15.2574 , 11.5556 , -0.154736
15.2534 , 11.5563 , -0.154682
15.2494 , 11.5569 , -0.154628
15.2454 , 11.5575 , -0.154574
15.2414 , 11.5581 , -0.154519
15.2374 , 11.5588 , -0.154465
15.2334 , 11.5594 , -0.154411
15.2294 , 11.56 , -0.154357
15.2254 , 11.5607 , -0.154303
15.2214 , 11.5613 , -0.154248
15.2174 , 11.5619 , -0.154194
15.2134 , 11.5625 , -0.15414
15.2094 , 11.5632 , -0.154086
15.2054 , 11.5638 , -0.154031
15.2014 , 11.5644 , -0.153977
15.1973 , 11.565 , -0.153923
15.1933 , 11.5657 , -0.153869
15.1893 , 11.5663 , -0.153814
15.1853 , 11.5669 , -0.15376
15.1813 , 11.5675 , -0.153706
15.1773 , 11.5681 , -0.153652
15.1733 , 11.5688 , -0.153597
15.1693 , 11.5694 , -0.153543
15.1653 , 11.57 , -0.153489
15.1613 , 11.5706 , -0.153434
15.1572 , 11.5712 , -0.15338
15.1532 , 11.5719 , -0.153326
15.1492 , 11.5725 , -0.153271
15.1452 , 11.5731 , -0.153217
15.1412 , 11.5737 , -0.153163
15.1372 , 11.5743 , -0.153108
15.1331 , 11.5749 , -0.153054
15.1291 , 11.5755 , -0.153
15.1251 , 11.5762 , -0.152945
15.1211 , 11.5768 , -0.152891
15.1171 , 11.5774 , -0.152836
15.113 , 11.578 , -0.152782
15.109 , 11.5786 , -0.152728
15.105 , 11.5792 , -0.152673
15.101 , 11.5798 , -0.152619
15.097 , 11.5804 , -0.152564
15.0929 , 11.5811 , -0.15251
15.0889 , 11.5817 , -0.152456
15.0849 , 11.5823 , -0.152401
15.0809 , 11.5829 , -0.152347
15.0768 , 11.5835 , -0.152292
15.0728 , 11.5841 , -0.152238
15.0688 , 11.5847 , -0.152183
15.0647 , 11.5853 , -0.152129
15.0607 , 11.5859 , -0.152074
15.0567 , 11.5865 , -0.15202
15.0527 , 11.5871 , -0.151965
15.0486 , 11.5877 , -0.151911
15.0446 , 11.5883 , -0.151856
15.0406 , 11.5889 , -0.151802
15.0365 , 11.5896 , -0.151747
15.0325 , 11.5902 , -0.151693
15.0285 , 11.5908 , -0.151638
15.0244 , 11.5914 , -0.151584
15.0204 , 11.592 , -0.151529
15.0164 , 11.5926 , -0.151475
15.0123 , 11.5932 , -0.15142
15.0083 , 11.5938 , -0.151366
15.0042 , 11.5944 , -0.151311
15.0002 , 11.595 , -0.151256
14.9962 , 11.5956 , -0.151202
14.9921 , 11.5962 , -0.151147
14.9881 , 11.5968 , -0.151093
14.984 , 11.5973 , -0.151038
14.98 , 11.5979 , -0.150983
14.976 , 11.5985 , -0.150929
14.9719 , 11.5991 , -0.150874
14.9679 , 11.5997 , -0.15082
14.9638 , 11.6003 , -0.150765
14.9598 , 11.6009 , -0.15071
14.9557 , 11.6015 , -0.150656
14.9517 , 11.6021 , -0.150601
14.9476 , 11.6027 , -0.150546
14.9436 , 11.6033 , -0.150492
14.9395 , 11.6039 , -0.150437
14.9355 , 11.6045 , -0.150382
14.9314 , 11.6051 , -0.150328
14.9274 , 11.6057 , -0.150273
14.9233 , 11.6062 , -0.150218
