x , y , z
0.719402 , 0.0599883 , -0.0409897
0.698594 , 0.0593214 , -0.0397985
0.677197 , 0.058611 , -0.0385739
0.655173 , 0.0578534 , -0.0373137
0.632479 , 0.0570446 , -0.0360155
0.609067 , 0.0561799 , -0.0346767
0.584882 , 0.0552536 , -0.0332941
0.559858 , 0.0542593 , -0.0318641
0.533921 , 0.0531892 , -0.0303824
0.506981 , 0.0520337 , -0.028844
0.478929 , 0.0507813 , -0.0272427
0.449634 , 0.0494173 , -0.0255712
0.41893 , 0.0479231 , -0.0238202
0.386607 , 0.046274 , -0.021978
0.352389 , 0.0444365 , -0.0200288
0.315895 , 0.0423631 , -0.0179517
0.276583 , 0.0399824 , -0.015716
0.233615 , 0.0371781 , -0.0132752
0.185564 , 0.0337387 , -0.0105497
0.129566 , 0.0291988 , -0.00738062
0.0577206 , 0.0220828 , -0.00333203
-0.0854399 , -0.00190387 , 0.00460295
-0.185386 , -0.0208992 , 0.0101122
-0.276746 , -0.0385502 , 0.0151443
-0.364328 , -0.0555633 , 0.0199671
-0.449751 , -0.0721986 , 0.0246704
-0.533767 , -0.0885822 , 0.0292959
-0.616788 , -0.104785 , 0.0338665
-0.699065 , -0.120852 , 0.038396
-0.780764 , -0.136812 , 0.0428936
-0.862002 , -0.152687 , 0.0473657
-0.942861 , -0.16849 , 0.051817
-1.0234 , -0.184235 , 0.0562508
-1.10368 , -0.199929 , 0.0606698
-1.18372 , -0.21558 , 0.0650762
-1.26357 , -0.231192 , 0.0694715
-1.34324 , -0.246772 , 0.0738571
-1.42275 , -0.262322 , 0.0782342
-1.50213 , -0.277846 , 0.0826037
-1.58138 , -0.293346 , 0.0869664
-1.66052 , -0.308825 , 0.0913229
-1.73956 , -0.324285 , 0.0956738
-1.81851 , -0.339727 , 0.10002
-1.89737 , -0.355153 , 0.104361
-1.97616 , -0.370564 , 0.108698
-2.05487 , -0.385961 , 0.113031
-2.13352 , -0.401345 , 0.11736
-2.21211 , -0.416718 , 0.121686
-2.29063 , -0.43208 , 0.126009
-2.36911 , -0.447432 , 0.130329
-2.44754 , -0.462774 , 0.134646
-2.52592 , -0.478107 , 0.13896
-2.60425 , -0.493432 , 0.143272
-2.68255 , -0.508749 , 0.147582
-2.7608 , -0.524058 , 0.15189
-2.83902 , -0.539361 , 0.156196
-2.91721 , -0.554656 , 0.1605
-2.99536 , -0.569946 , 0.164802
-3.07348 , -0.585229 , 0.169102
-3.15158 , -0.600507 , 0.173401
-3.22964 , -0.615779 , 0.177698
-3.30768 , -0.631047 , 0.181994
-3.38569 , -0.646309 , 0.186288
-3.46368 , -0.661566 , 0.190581
-3.54164 , -0.676819 , 0.194873
-3.61958 , -0.692068 , 0.199163
-3.6975 , -0.707313 , 0.203452
-3.7754 , -0.722554 , 0.20774
-3.85329 , -0.737791 , 0.212028
-3.93115 , -0.753024 , 0.216314
-4.00899 , -0.768254 , 0.220599
-4.08682 , -0.78348 , 0.224883
-4.16463 , -0.798704 , 0.229166
-4.24242 , -0.813924 , 0.233448
-4.3202 , -0.829141 , 0.23773
-4.39797 , -0.844355 , 0.24201
-4.47572 , -0.859567 , 0.24629
