x , y , z
0.522349 , -5.19358 , 0.00985376
0.524832 , -5.1962 , 0.00980904
0.527316 , -5.1988 , 0.00976431
0.529799 , -5.20141 , 0.00971958
0.532282 , -5.20402 , 0.00967484
0.534765 , -5.20662 , 0.0096301
0.537247 , -5.20922 , 0.00958535
0.539729 , -5.21181 , 0.0095406
0.542211 , -5.21441 , 0.00949585
0.544692 , -5.217 , 0.00945108
0.547174 , -5.21959 , 0.00940632
0.549655 , -5.22217 , 0.00936155
0.552135 , -5.22476 , 0.00931677
0.554616 , -5.22734 , 0.00927199
0.557096 , -5.22991 , 0.00922721
0.559576 , -5.23249 , 0.00918242
0.562055 , -5.23506 , 0.00913763
0.564535 , -5.23763 , 0.00909283
0.567014 , -5.2402 , 0.00904802
0.569492 , -5.24276 , 0.00900322
0.571971 , -5.24533 , 0.00895841
0.574449 , -5.24789 , 0.00891359
0.576927 , -5.25044 , 0.00886877
0.579405 , -5.253 , 0.00882394
0.581882 , -5.25555 , 0.00877911
0.584359 , -5.2581 , 0.00873428
0.586836 , -5.26064 , 0.00868944
0.589312 , -5.26319 , 0.0086446
0.591788 , -5.26573 , 0.00859975
0.594264 , -5.26827 , 0.0085549
0.596739 , -5.2708 , 0.00851005
0.599215 , -5.27334 , 0.00846519
0.60169 , -5.27587 , 0.00842032
0.604164 , -5.2784 , 0.00837546
0.606639 , -5.28092 , 0.00833058
0.609113 , -5.28344 , 0.00828571
0.611587 , -5.28596 , 0.00824083
0.61406 , -5.28848 , 0.00819594
0.616533 , -5.291 , 0.00815106
0.619006 , -5.29351 , 0.00810616
0.621479 , -5.29602 , 0.00806127
0.623951 , -5.29853 , 0.00801637
0.626423 , -5.30103 , 0.00797147
0.628894 , -5.30354 , 0.00792656
0.631366 , -5.30604 , 0.00788165
0.633837 , -5.30853 , 0.00783673
0.636308 , -5.31103 , 0.00779181
0.638778 , -5.31352 , 0.00774689
0.641248 , -5.31601 , 0.00770197
0.643718 , -5.3185 , 0.00765704
0.646187 , -5.32098 , 0.0076121
0.648657 , -5.32346 , 0.00756717
0.651126 , -5.32594 , 0.00752223
0.653594 , -5.32842 , 0.00747728
0.656062 , -5.3309 , 0.00743233
0.65853 , -5.33337 , 0.00738738
0.660998 , -5.33584 , 0.00734243
0.663465 , -5.3383 , 0.00729747
0.665932 , -5.34077 , 0.00725251
0.668399 , -5.34323 , 0.00720754
0.670865 , -5.34569 , 0.00716258
0.673331 , -5.34815 , 0.0071176
0.675797 , -5.3506 , 0.00707263
0.678263 , -5.35305 , 0.00702765
0.680728 , -5.3555 , 0.00698267
