x , y , z
-0.0671335 , -0.453405 , -0.0318246
-0.0834333 , -0.448891 , -0.029961
-0.0996745 , -0.44404 , -0.0280754
-0.115844 , -0.438853 , -0.0261688
-0.13193 , -0.43333 , -0.0242426
-0.147918 , -0.427472 , -0.0222979
-0.163796 , -0.421283 , -0.0203362
-0.179552 , -0.414765 , -0.0183588
-0.195172 , -0.407923 , -0.0163674
-0.210646 , -0.400761 , -0.0143633
-0.22596 , -0.393286 , -0.0123482
-0.241105 , -0.385504 , -0.0103236
-0.256069 , -0.377423 , -0.0082912
-0.270842 , -0.369051 , -0.00625248
-0.285416 , -0.360398 , -0.00420905
-0.299781 , -0.351471 , -0.00216249
-0.313929 , -0.342283 , -0.000114333
-0.327854 , -0.332841 , 0.00193393
-0.341548 , -0.323159 , 0.00398083
-0.355007 , -0.313245 , 0.00602497
-0.368225 , -0.303112 , 0.008065
-0.381199 , -0.29277 , 0.0100996
-0.393925 , -0.282232 , 0.0121277
-0.406401 , -0.271507 , 0.0141479
-0.418625 , -0.260608 , 0.0161593
-0.430595 , -0.249545 , 0.0181609
-0.442312 , -0.238329 , 0.0201516
-0.453774 , -0.226971 , 0.0221308
-0.464984 , -0.215481 , 0.0240975
-0.475942 , -0.203869 , 0.026051
-0.486649 , -0.192145 , 0.0279907
-0.497108 , -0.180319 , 0.029916
-0.507321 , -0.168398 , 0.0318265
-0.517291 , -0.156393 , 0.0337215
-0.527021 , -0.144311 , 0.0356008
-0.536513 , -0.132161 , 0.037464
-0.545773 , -0.119949 , 0.0393108
-0.554802 , -0.107683 , 0.041141
-0.563606 , -0.0953697 , 0.0429542
-0.572188 , -0.0830159 , 0.0447505
-0.580552 , -0.0706273 , 0.0465296
-0.588702 , -0.0582098 , 0.0482915
-0.596644 , -0.0457688 , 0.0500362
-0.60438 , -0.0333094 , 0.0517635
-0.611916 , -0.0208363 , 0.0534736
-0.619255 , -0.00835413 , 0.0551664
-0.626403 , 0.00413304 , 0.056842
-0.633362 , 0.0166212 , 0.0585004
-0.640138 , 0.0291068 , 0.0601418
-0.646735 , 0.0415862 , 0.0617663
-0.653157 , 0.0540564 , 0.0633739
-0.659407 , 0.0665143 , 0.0649649
-0.665491 , 0.0789572 , 0.0665393
-0.671412 , 0.0913825 , 0.0680974
-0.677173 , 0.103788 , 0.0696392
-0.68278 , 0.116171 , 0.071165
-0.688235 , 0.12853 , 0.0726749
-0.693542 , 0.140863 , 0.0741691
-0.698705 , 0.153167 , 0.0756478
-0.703728 , 0.165443 , 0.0771112
-0.708613 , 0.177687 , 0.0785595
-0.713364 , 0.189899 , 0.0799929
-0.717985 , 0.202078 , 0.0814115
-0.722478 , 0.214222 , 0.0828156
