x , y , z
0.719402 , 0.0599883 , -0.0409897
0.709172 , 0.0590434 , -0.0404126
0.6988 , 0.0580881 , -0.0398273
0.68828 , 0.0571222 , -0.0392337
0.677608 , 0.0561453 , -0.0386315
0.66678 , 0.0551573 , -0.0380204
0.655789 , 0.0541577 , -0.0374
0.644632 , 0.0531463 , -0.0367702
0.633301 , 0.0521228 , -0.0361306
0.621791 , 0.0510866 , -0.0354808
0.610095 , 0.0500374 , -0.0348205
0.598206 , 0.0489749 , -0.0341492
0.586116 , 0.0478985 , -0.0334665
0.573816 , 0.0468078 , -0.0327719
0.561299 , 0.0457022 , -0.0320649
0.548553 , 0.0445811 , -0.0313449
0.535569 , 0.043444 , -0.0306115
0.522335 , 0.0422903 , -0.0298638
0.508837 , 0.0411191 , -0.0291011
0.495062 , 0.0399297 , -0.0283227
0.480994 , 0.0387212 , -0.0275277
0.466617 , 0.0374928 , -0.026715
0.45191 , 0.0362434 , -0.0258837
0.436852 , 0.0349718 , -0.0250324
0.421419 , 0.0336768 , -0.0241597
0.405582 , 0.032357 , -0.0232641
0.389311 , 0.0310108 , -0.0223438
0.372568 , 0.0296363 , -0.0213966
0.35531 , 0.0282315 , -0.0204202
0.337486 , 0.0267941 , -0.0194115
0.319036 , 0.0253212 , -0.0183672
0.299886 , 0.0238097 , -0.017283
0.279944 , 0.0222557 , -0.0161537
0.259096 , 0.0206546 , -0.0149727
0.237191 , 0.0190006 , -0.0137315
0.214029 , 0.0172866 , -0.0124185
0.189327 , 0.0155034 , -0.0110175
0.162665 , 0.0136392 , -0.00950459
0.133365 , 0.0116778 , -0.00784068
0.100177 , 0.00959841 , -0.00595392
0.0602188 , 0.00738326 , -0.0036782
0.00240803 , 0.00520468 , -0.000371051
-1.59471 , 0.570408 , 0.0999009
-3.1918 , 1.1356 , 0.200171
-4.78889 , 1.7008 , 0.300441
-6.38597 , 2.26599 , 0.400711
-7.98306 , 2.83118 , 0.500981
-9.58014 , 3.39637 , 0.601251
-11.1772 , 3.96156 , 0.70152
-12.7743 , 4.52675 , 0.80179
-14.3714 , 5.09194 , 0.902059
-15.9685 , 5.65713 , 1.00233
-17.5655 , 6.22232 , 1.1026
-19.1626 , 6.78751 , 1.20287
-20.7597 , 7.3527 , 1.30314
-22.3568 , 7.91789 , 1.40341
-23.9539 , 8.48309 , 1.50368
-25.5509 , 9.04828 , 1.60395
-27.148 , 9.61347 , 1.70422
-28.7451 , 10.1787 , 1.80449
-30.3422 , 10.7438 , 1.90475
-31.9392 , 11.309 , 2.00502
-33.5363 , 11.8742 , 2.10529
-35.1334 , 12.4394 , 2.20556
-36.7305 , 13.0046 , 2.30583
-38.3276 , 13.5698 , 2.4061
-39.9246 , 14.135 , 2.50637
-41.5217 , 14.7002 , 2.60664
-43.1188 , 15.2654 , 2.70691
-44.7159 , 15.8306 , 2.80718
-46.313 , 16.3957 , 2.90745
-47.91 , 16.9609 , 3.00772
-49.5071 , 17.5261 , 3.10799
-51.1042 , 18.0913 , 3.20826
-52.7013 , 18.6565 , 3.30853
-54.2983 , 19.2217 , 3.4088
-55.8954 , 19.7869 , 3.50907
-57.4925 , 20.3521 , 3.60934
-59.0896 , 20.9173 , 3.7096
-60.6867 , 21.4825 , 3.80987
-62.2837 , 22.0476 , 3.91014
-63.8808 , 22.6128 , 4.01041
-65.4779 , 23.178 , 4.11068
-67.075 , 23.7432 , 4.21095
