x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.187467 , 0.974496 , -1.768e-005
-0.204732 , 0.972132 , -1.71216e-005
-0.221936 , 0.969471 , -1.65507e-005
-0.239072 , 0.966515 , -1.59675e-005
-0.256137 , 0.963266 , -1.53722e-005
-0.273125 , 0.959725 , -1.4765e-005
-0.29003 , 0.955894 , -1.41459e-005
-0.306849 , 0.951775 , -1.35153e-005
-0.323577 , 0.947372 , -1.28732e-005
-0.340208 , 0.942685 , -1.22199e-005
-0.356738 , 0.937718 , -1.15555e-005
-0.373163 , 0.932472 , -1.08803e-005
-0.389477 , 0.92695 , -1.01944e-005
-0.405677 , 0.921155 , -9.498e-006
-0.421757 , 0.915089 , -8.79134e-006
-0.437715 , 0.908755 , -8.07459e-006
-0.453544 , 0.902155 , -7.34795e-006
-0.469242 , 0.895293 , -6.61161e-006
-0.484803 , 0.888171 , -5.86579e-006
-0.500224 , 0.880792 , -5.11068e-006
-0.5155 , 0.873159 , -4.34649e-006
-0.530629 , 0.865275 , -3.57343e-006
-0.545605 , 0.857143 , -2.79169e-006
-0.560425 , 0.848767 , -2.00149e-006
-0.575085 , 0.840149 , -1.20304e-006
-0.589582 , 0.831292 , -3.96554e-007
-0.603911 , 0.8222 , 4.17767e-007
-0.61807 , 0.812877 , 1.23971e-006
-0.632055 , 0.803325 , 2.06905e-006
-0.645861 , 0.793548 , 2.90559e-006
-0.659487 , 0.783549 , 3.7491e-006
-0.672929 , 0.773332 , 4.59938e-006
-0.686183 , 0.7629 , 5.4562e-006
-0.699246 , 0.752257 , 6.31935e-006
-0.712116 , 0.741407 , 7.18862e-006
-0.724789 , 0.730352 , 8.06379e-006
-0.737262 , 0.719098 , 8.94463e-006
-0.749532 , 0.707647 , 9.83094e-006
-0.761597 , 0.696002 , 1.07225e-005
-0.773454 , 0.684169 , 1.16191e-005
-0.7851 , 0.67215 , 1.25205e-005
-0.796533 , 0.65995 , 1.34265e-005
-0.807749 , 0.647572 , 1.43368e-005
-0.818747 , 0.63502 , 1.52514e-005
-0.829525 , 0.622298 , 1.61698e-005
-0.840079 , 0.60941 , 1.7092e-005
-0.850408 , 0.596359 , 1.80177e-005
-0.860509 , 0.58315 , 1.89467e-005
-0.87038 , 0.569787 , 1.98787e-005
-0.88002 , 0.556273 , 2.08136e-005
-0.889426 , 0.542613 , 2.17512e-005
