x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.23056 , 0.980654 , -1.65875e-005
-0.290147 , 0.981187 , -1.48014e-005
-0.348735 , 0.978321 , -1.28776e-005
-0.406171 , 0.972215 , -1.08259e-005
-0.462322 , 0.963026 , -8.6556e-006
-0.517068 , 0.950907 , -6.37579e-006
-0.570302 , 0.936008 , -3.99504e-006
-0.62193 , 0.918475 , -1.52157e-006
-0.671867 , 0.89845 , 1.03678e-006
-0.720039 , 0.876069 , 3.67252e-006
-0.766379 , 0.851465 , 6.37849e-006
-0.810827 , 0.824767 , 9.14785e-006
-0.853332 , 0.796099 , 1.19741e-005
-0.893846 , 0.765582 , 1.48509e-005
-0.932327 , 0.733332 , 1.77722e-005
-0.968737 , 0.699462 , 2.07324e-005
-1.00304 , 0.664082 , 2.37258e-005
-1.03521 , 0.627299 , 2.67472e-005
-1.06522 , 0.589216 , 2.97912e-005
-1.09305 , 0.549934 , 3.2853e-005
-1.11867 , 0.509551 , 3.59277e-005
-1.14205 , 0.468164 , 3.90106e-005
-1.1632 , 0.425868 , 4.20971e-005
-1.18208 , 0.382754 , 4.51827e-005
-1.19868 , 0.338915 , 4.8263e-005
-1.213 , 0.294439 , 5.13336e-005
-1.22501 , 0.249417 , 5.43905e-005
-1.23472 , 0.203936 , 5.74293e-005
-1.24209 , 0.158083 , 6.04459e-005
-1.24714 , 0.111947 , 6.34363e-005
-1.24985 , 0.0656128 , 6.63962e-005
-1.25021 , 0.0191689 , 6.93217e-005
-1.24822 , -0.0272976 , 7.22086e-005
-1.24387 , -0.0736987 , 7.5053e-005
-1.23716 , -0.119946 , 7.78505e-005
-1.22808 , -0.165948 , 8.05972e-005
-1.21664 , -0.211616 , 8.32889e-005
-1.20282 , -0.256856 , 8.59212e-005
-1.18664 , -0.301574 , 8.849e-005
-1.16809 , -0.345673 , 9.09909e-005
-1.14717 , -0.389055 , 9.34193e-005
-1.1239 , -0.431618 , 9.57709e-005
-1.09827 , -0.473259 , 9.8041e-005
-1.0703 , -0.51387 , 0.000100225
-1.04 , -0.553341 , 0.000102318
-1.00738 , -0.591556 , 0.000104314
-0.972462 , -0.628398 , 0.00010621
-0.935266 , -0.663744 , 0.000108
-0.895819 , -0.697466 , 0.000109677
-0.854152 , -0.729432 , 0.000111238
-0.810302 , -0.759505 , 0.000112676
-0.764314 , -0.78754 , 0.000113985
-0.716237 , -0.813389 , 0.000115159
-0.666133 , -0.836898 , 0.000116194
-0.614069 , -0.857904 , 0.000117081
-0.560129 , -0.876243 , 0.000117816
-0.504403 , -0.89174 , 0.000118391
