x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00391724 , 0.00741162 , 2.62662e-005
-0.0040359 , 0.00738348 , 2.95023e-005
-0.00415461 , 0.00735548 , 3.27384e-005
-0.00427339 , 0.00732762 , 3.59745e-005
-0.00439223 , 0.00729985 , 3.92106e-005
-0.00451113 , 0.00727213 , 4.24467e-005
-0.00463007 , 0.00724443 , 4.56828e-005
-0.00474901 , 0.00721673 , 4.89188e-005
-0.0048679 , 0.00718897 , 5.21549e-005
-0.0049867 , 0.00716113 , 5.5391e-005
-0.00510533 , 0.00713315 , 5.86271e-005
-0.00522379 , 0.00710487 , 6.18632e-005
-0.00534224 , 0.00707619 , 6.50993e-005
-0.00546089 , 0.00704723 , 6.83355e-005
-0.00557973 , 0.0070182 , 7.15716e-005
-0.00569867 , 0.00698918 , 7.48077e-005
-0.00581764 , 0.00696022 , 7.80439e-005
-0.00593662 , 0.00693131 , 8.128e-005
-0.00605557 , 0.00690248 , 8.45162e-005
-0.00617447 , 0.00687373 , 8.77523e-005
-0.0062933 , 0.00684507 , 9.09884e-005
-0.00641207 , 0.0068165 , 9.42245e-005
-0.00653076 , 0.00678805 , 9.74606e-005
-0.00664937 , 0.00675971 , 0.000100697
-0.00676788 , 0.00673151 , 0.000103933
-0.0068863 , 0.00670346 , 0.000107169
-0.00700461 , 0.00667554 , 0.000110405
-0.00712278 , 0.00664775 , 0.000113641
-0.0072408 , 0.00662001 , 0.000116877
-0.00735867 , 0.00659216 , 0.000120113
-0.0074766 , 0.00656403 , 0.000123349
-0.00759483 , 0.0065357 , 0.000126585
-0.00771338 , 0.00650733 , 0.000129822
-0.00783218 , 0.00647894 , 0.000133058
-0.00795117 , 0.00645056 , 0.000136294
-0.0080703 , 0.00642217 , 0.00013953
-0.00818952 , 0.00639376 , 0.000142766
-0.00830879 , 0.00636535 , 0.000146002
-0.00842808 , 0.00633692 , 0.000149238
-0.00854737 , 0.00630849 , 0.000152474
-0.00866662 , 0.00628007 , 0.00015571
-0.00878581 , 0.00625167 , 0.000158947
-0.00890492 , 0.0062233 , 0.000162183
-0.00902393 , 0.00619498 , 0.000165419
-0.00914278 , 0.00616672 , 0.000168655
-0.00926142 , 0.00613851 , 0.000171891
-0.00937978 , 0.00611031 , 0.000175127
-0.00949783 , 0.00608194 , 0.000178363
-0.00961575 , 0.00605326 , 0.000181599
-0.00973377 , 0.00602438 , 0.000184835
-0.00985192 , 0.00599547 , 0.000188072
-0.00997017 , 0.00596661 , 0.000191308
-0.0100885 , 0.00593786 , 0.000194544
-0.0102069 , 0.00590924 , 0.00019778
-0.0103254 , 0.00588077 , 0.000201016
-0.0104439 , 0.00585244 , 0.000204252
-0.0105626 , 0.00582426 , 0.000207488
-0.0106814 , 0.00579621 , 0.000210724
-0.0108002 , 0.00576827 , 0.00021396
-0.0109192 , 0.00574041 , 0.000217197
-0.0110383 , 0.00571261 , 0.000220433
-0.0111575 , 0.00568485 , 0.000223669
-0.0112766 , 0.00565713 , 0.000226905
-0.0113956 , 0.00562943 , 0.000230141
-0.0115145 , 0.00560169 , 0.000233377
-0.011633 , 0.00557372 , 0.000236613
-0.0117514 , 0.00554535 , 0.000239849
-0.01187 , 0.00551668 , 0.000243085
-0.0119886 , 0.00548785 , 0.000246321
-0.0121073 , 0.00545894 , 0.000249558
-0.0122261 , 0.00542999 , 0.000252794
-0.0123449 , 0.00540103 , 0.00025603
-0.0124637 , 0.00537209 , 0.000259266
-0.0125825 , 0.0053432 , 0.000262502
-0.0127013 , 0.00531436 , 0.000265738
-0.0128201 , 0.0052856 , 0.000268974
-0.0129388 , 0.00525694 , 0.000272211
-0.0130575 , 0.00522841 , 0.000275447
-0.0131762 , 0.00520004 , 0.000278683
-0.0132949 , 0.00517184 , 0.000281919
-0.0134134 , 0.00514386 , 0.000285155
