x , y , z
-1.32391 , -0.878318 , 0.0138521
-1.31745 , -0.864364 , 0.0139861
-1.31089 , -0.850346 , 0.0141191
-1.30424 , -0.836261 , 0.0142511
-1.29748 , -0.82211 , 0.0143818
-1.29062 , -0.807891 , 0.0145114
-1.28364 , -0.793604 , 0.0146399
-1.27656 , -0.779249 , 0.014767
-1.26937 , -0.764824 , 0.0148929
-1.26206 , -0.75033 , 0.0150174
-1.25464 , -0.735765 , 0.0151405
-1.24709 , -0.721129 , 0.0152622
-1.23943 , -0.706422 , 0.0153824
-1.23164 , -0.691642 , 0.015501
-1.22372 , -0.676789 , 0.015618
-1.21567 , -0.661862 , 0.0157333
-1.20748 , -0.646861 , 0.0158469
-1.19916 , -0.631785 , 0.0159586
-1.19069 , -0.616633 , 0.0160685
-1.18208 , -0.601405 , 0.0161764
-1.17332 , -0.586101 , 0.0162823
-1.16441 , -0.570718 , 0.0163861
-1.15534 , -0.555258 , 0.0164876
-1.14611 , -0.539719 , 0.0165868
-1.13672 , -0.5241 , 0.0166837
-1.12715 , -0.508402 , 0.016778
-1.11741 , -0.492623 , 0.0168697
-1.10749 , -0.476763 , 0.0169587
-1.09738 , -0.460822 , 0.0170448
-1.08708 , -0.444798 , 0.017128
-1.07659 , -0.428692 , 0.017208
-1.06589 , -0.412504 , 0.0172848
-1.05498 , -0.396232 , 0.0173582
-1.04385 , -0.379877 , 0.017428
-1.0325 , -0.363439 , 0.017494
-1.02092 , -0.346917 , 0.0175562
-1.0091 , -0.330311 , 0.0176141
-0.997025 , -0.313622 , 0.0176678
-0.984697 , -0.296849 , 0.0177169
-0.972103 , -0.279994 , 0.0177611
-0.959231 , -0.263057 , 0.0178003
-0.946072 , -0.246038 , 0.0178341
-0.932615 , -0.228939 , 0.0178623
-0.918846 , -0.211761 , 0.0178846
-0.904754 , -0.194505 , 0.0179005
-0.890325 , -0.177173 , 0.0179097
-0.875544 , -0.159768 , 0.0179118
-0.860396 , -0.142293 , 0.0179064
-0.844864 , -0.12475 , 0.0178929
-0.828931 , -0.107145 , 0.017871
-0.812577 , -0.0894804 , 0.0178399
-0.795783 , -0.0717633 , 0.0177992
-0.778525 , -0.0539998 , 0.017748
-0.760782 , -0.0361976 , 0.0176857
-0.742527 , -0.0183658 , 0.0176115
-0.723733 , -0.000514983 , 0.0175245
-0.70437 , 0.0173422 , 0.0174236
-0.684408 , 0.0351911 , 0.0173078
-0.663812 , 0.0530143 , 0.0171759
-0.642543 , 0.0707913 , 0.0170266
-0.620564 , 0.088498 , 0.0168583
-0.597829 , 0.106106 , 0.0166694
-0.574294 , 0.12358 , 0.0164581
-0.549906 , 0.140882 , 0.0162222
-0.524613 , 0.157963 , 0.0159595
-0.498356 , 0.174765 , 0.0156672
-0.471076 , 0.191222 , 0.0153426
-0.442709 , 0.207251 , 0.0149823
-0.413188 , 0.222756 , 0.0145827
-0.382448 , 0.237619 , 0.0141397
-0.350425 , 0.251704 , 0.0136489
-0.317063 , 0.264845 , 0.0131054
-0.282315 , 0.276847 , 0.0125041
-0.246157 , 0.287485 , 0.0118394
-0.208592 , 0.296498 , 0.0111062
-0.169668 , 0.303593 , 0.0102994
-0.129495 , 0.308455 , 0.00941502
-0.0882543 , 0.310759 , 0.00845081
-0.046217 , 0.310196 , 0.0074069
-0.00374368 , 0.306507 , 0.00628671
0.0387263 , 0.299518 , 0.00509741
0.0807051 , 0.289178 , 0.00384987
0.121701 , 0.275574 , 0.00255798
0.161266 , 0.258922 , 0.0012373
0.19904 , 0.239548 , -9.65022e-005
0.234769 , 0.217841 , -0.00142906
0.268311 , 0.19421 , -0.00274828
0.299622 , 0.169051 , -0.00404477
0.328732 , 0.142723 , -0.00531176
0.355726 , 0.115537 , -0.00654478
0.380719 , 0.0877509 , -0.00774127
0.403846 , 0.0595771 , -0.00890007
0.425244 , 0.0311837 , -0.0100211
0.445052 , 0.00270345 , -0.0111048
0.463401 , -0.0257604 , -0.0121524
0.480413 , -0.0541283 , -0.0131652
0.4962 , -0.0823399 , -0.0141446
0.510867 , -0.11035 , -0.0150923
0.524506 , -0.138124 , -0.0160098
0.537202 , -0.165637 , -0.0168987
0.549029 , -0.192873 , -0.0177604
0.560058 , -0.219819 , -0.0185964
0.57035 , -0.246467 , -0.0194081
0.579959 , -0.272813 , -0.0201968
0.588937 , -0.298856 , -0.0209635
0.597328 , -0.324596 , -0.0217095
0.605174 , -0.350035 , -0.0224358
0.612511 , -0.375175 , -0.0231434
0.619374 , -0.40002 , -0.0238331
0.625794 , -0.424575 , -0.0245058
0.631798 , -0.448845 , -0.0251624
0.637412 , -0.472835 , -0.0258035
0.642659 , -0.49655 , -0.0264299
