x , y , z
29.239 , -6.35975 , -0.542876
29.2385 , -6.35665 , -0.542927
29.2379 , -6.35354 , -0.542978
29.2373 , -6.35044 , -0.54303
29.2368 , -6.34733 , -0.543081
29.2362 , -6.34423 , -0.543132
29.2357 , -6.34112 , -0.543184
29.2351 , -6.33801 , -0.543235
29.2346 , -6.33491 , -0.543286
29.234 , -6.3318 , -0.543338
29.2334 , -6.3287 , -0.543389
29.2329 , -6.32559 , -0.54344
29.2323 , -6.32249 , -0.543492
29.2318 , -6.31938 , -0.543543
29.2312 , -6.31627 , -0.543594
29.2306 , -6.31317 , -0.543646
29.2301 , -6.31006 , -0.543697
29.2295 , -6.30696 , -0.543748
29.229 , -6.30385 , -0.543799
29.2284 , -6.30074 , -0.543851
29.2278 , -6.29764 , -0.543902
29.2273 , -6.29453 , -0.543953
29.2267 , -6.29143 , -0.544005
29.2261 , -6.28832 , -0.544056
29.2256 , -6.28521 , -0.544107
29.225 , -6.28211 , -0.544158
29.2245 , -6.279 , -0.544209
29.2239 , -6.27589 , -0.544261
29.2233 , -6.27279 , -0.544312
29.2228 , -6.26968 , -0.544363
29.2222 , -6.26657 , -0.544414
29.2216 , -6.26347 , -0.544465
29.2211 , -6.26036 , -0.544517
29.2205 , -6.25725 , -0.544568
29.2199 , -6.25414 , -0.544619
29.2194 , -6.25104 , -0.54467
29.2188 , -6.24793 , -0.544721
29.2182 , -6.24482 , -0.544773
29.2177 , -6.24171 , -0.544824
29.2171 , -6.23861 , -0.544875
29.2165 , -6.2355 , -0.544926
29.216 , -6.23239 , -0.544977
29.2154 , -6.22928 , -0.545028
29.2148 , -6.22618 , -0.545079
29.2143 , -6.22307 , -0.54513
29.2137 , -6.21996 , -0.545182
29.2131 , -6.21685 , -0.545233
29.2125 , -6.21374 , -0.545284
29.212 , -6.21064 , -0.545335
29.2114 , -6.20753 , -0.545386
29.2108 , -6.20442 , -0.545437
29.2103 , -6.20131 , -0.545488
29.2097 , -6.1982 , -0.545539
29.2091 , -6.19509 , -0.54559
29.2085 , -6.19198 , -0.545641
29.208 , -6.18888 , -0.545692
29.2074 , -6.18577 , -0.545743
29.2068 , -6.18266 , -0.545794
29.2062 , -6.17955 , -0.545845
29.2057 , -6.17644 , -0.545896
29.2051 , -6.17333 , -0.545948
29.2045 , -6.17022 , -0.545999
29.2039 , -6.16711 , -0.54605
