x , y , z
3.79345 , -9.28066 , 0.0103562
3.78871 , -9.2773 , 0.0104867
3.78397 , -9.27394 , 0.0106172
3.77923 , -9.27058 , 0.0107477
3.77449 , -9.26722 , 0.0108782
3.76974 , -9.26385 , 0.0110087
3.765 , -9.26048 , 0.0111391
3.76026 , -9.25711 , 0.0112696
3.75551 , -9.25373 , 0.0114001
3.75076 , -9.25036 , 0.0115306
3.74601 , -9.24698 , 0.011661
3.74126 , -9.24359 , 0.0117915
3.73651 , -9.24021 , 0.011922
3.73176 , -9.23682 , 0.0120524
3.72701 , -9.23343 , 0.0121829
3.72226 , -9.23003 , 0.0123133
3.7175 , -9.22664 , 0.0124438
3.71274 , -9.22324 , 0.0125742
3.70799 , -9.21983 , 0.0127047
3.70323 , -9.21643 , 0.0128351
3.69847 , -9.21302 , 0.0129655
3.69371 , -9.20961 , 0.013096
3.68895 , -9.2062 , 0.0132264
3.68418 , -9.20278 , 0.0133568
3.67942 , -9.19936 , 0.0134872
3.67466 , -9.19594 , 0.0136176
3.66989 , -9.19251 , 0.013748
3.66512 , -9.18909 , 0.0138784
3.66035 , -9.18566 , 0.0140088
3.65558 , -9.18222 , 0.0141392
3.65081 , -9.17879 , 0.0142696
3.64604 , -9.17535 , 0.0144
3.64127 , -9.17191 , 0.0145304
3.63649 , -9.16846 , 0.0146608
3.63172 , -9.16502 , 0.0147911
3.62694 , -9.16157 , 0.0149215
3.62217 , -9.15811 , 0.0150519
3.61739 , -9.15466 , 0.0151822
3.61261 , -9.1512 , 0.0153126
3.60783 , -9.14774 , 0.0154429
3.60304 , -9.14427 , 0.0155733
3.59826 , -9.14081 , 0.0157036
3.59348 , -9.13734 , 0.015834
3.58869 , -9.13386 , 0.0159643
3.58391 , -9.13039 , 0.0160946
3.57912 , -9.12691 , 0.0162249
3.57433 , -9.12343 , 0.0163553
3.56954 , -9.11994 , 0.0164856
3.56475 , -9.11646 , 0.0166159
3.55996 , -9.11297 , 0.0167462
3.55516 , -9.10947 , 0.0168765
3.55037 , -9.10598 , 0.0170068
3.54557 , -9.10248 , 0.017137
3.54078 , -9.09898 , 0.0172673
3.53598 , -9.09547 , 0.0173976
3.53118 , -9.09197 , 0.0175279
3.52638 , -9.08846 , 0.0176581
3.52158 , -9.08494 , 0.0177884
3.51678 , -9.08143 , 0.0179186
3.51197 , -9.07791 , 0.0180489
3.50717 , -9.07439 , 0.0181791
3.50236 , -9.07086 , 0.0183094
3.49756 , -9.06734 , 0.0184396
3.49275 , -9.06381 , 0.0185698
3.48794 , -9.06027 , 0.0187
3.48313 , -9.05674 , 0.0188302
3.47832 , -9.0532 , 0.0189604
3.47351 , -9.04965 , 0.0190906
3.46869 , -9.04611 , 0.0192208
3.46388 , -9.04256 , 0.019351
3.45906 , -9.03901 , 0.0194812
3.45425 , -9.03546 , 0.0196114
3.44943 , -9.0319 , 0.0197415
3.44461 , -9.02834 , 0.0198717
3.43979 , -9.02478 , 0.0200018
3.43497 , -9.02121 , 0.020132
3.43015 , -9.01764 , 0.0202621
3.42532 , -9.01407 , 0.0203923
3.4205 , -9.0105 , 0.0205224
3.41567 , -9.00692 , 0.0206525
3.41084 , -9.00334 , 0.0207826
3.40602 , -8.99975 , 0.0209127
3.40119 , -8.99617 , 0.0210428
3.39636 , -8.99258 , 0.0211729
3.39152 , -8.98899 , 0.021303
3.38669 , -8.98539 , 0.0214331
3.38186 , -8.98179 , 0.0215631
3.37702 , -8.97819 , 0.0216932
3.37219 , -8.97459 , 0.0218233
3.36735 , -8.97098 , 0.0219533
3.36251 , -8.96737 , 0.0220833
3.35767 , -8.96375 , 0.0222134
3.35283 , -8.96014 , 0.0223434
3.34799 , -8.95652 , 0.0224734
3.34315 , -8.9529 , 0.0226034
3.3383 , -8.94927 , 0.0227334
3.33346 , -8.94564 , 0.0228634
3.32861 , -8.94201 , 0.0229934
3.32376 , -8.93838 , 0.0231234
3.31891 , -8.93474 , 0.0232534
3.31406 , -8.9311 , 0.0233833
3.30921 , -8.92745 , 0.0235133
3.30436 , -8.92381 , 0.0236432
3.29951 , -8.92016 , 0.0237732
3.29465 , -8.9165 , 0.0239031
3.2898 , -8.91285 , 0.024033
3.28494 , -8.90919 , 0.0241629
3.28008 , -8.90553 , 0.0242929
3.27523 , -8.90186 , 0.0244227
3.27037 , -8.89819 , 0.0245526
3.2655 , -8.89452 , 0.0246825
3.26064 , -8.89085 , 0.0248124
3.25578 , -8.88717 , 0.0249423
