x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380182 , 0.00744375 , 2.3079e-005
-0.00380501 , 0.00744756 , 2.31278e-005
-0.0038082 , 0.00745136 , 2.31765e-005
-0.00381139 , 0.00745514 , 2.32252e-005
-0.00381458 , 0.00745892 , 2.32737e-005
-0.00381777 , 0.00746269 , 2.33222e-005
-0.00382095 , 0.00746645 , 2.33706e-005
-0.00382413 , 0.0074702 , 2.34189e-005
-0.0038273 , 0.00747394 , 2.3467e-005
-0.00383048 , 0.00747767 , 2.35151e-005
-0.00383365 , 0.00748139 , 2.35631e-005
-0.00383681 , 0.0074851 , 2.36111e-005
-0.00383998 , 0.0074888 , 2.36589e-005
-0.00384314 , 0.00749249 , 2.37067e-005
-0.0038463 , 0.00749617 , 2.37543e-005
-0.00384945 , 0.00749984 , 2.38018e-005
-0.00385259 , 0.0075035 , 2.38491e-005
-0.00385573 , 0.00750716 , 2.38961e-005
-0.00385886 , 0.00751081 , 2.39424e-005
-0.00386196 , 0.00751445 , 2.39877e-005
-0.00386498 , 0.0075181 , 2.40283e-005
-0.00386804 , 0.00752174 , 2.40717e-005
-0.00387112 , 0.00752536 , 2.41158e-005
-0.0038742 , 0.00752898 , 2.416e-005
-0.00387728 , 0.00753258 , 2.42044e-005
-0.00388036 , 0.00753618 , 2.42488e-005
-0.00388343 , 0.00753976 , 2.42933e-005
-0.00388651 , 0.00754334 , 2.43378e-005
-0.00388959 , 0.00754691 , 2.43824e-005
-0.00389266 , 0.00755047 , 2.44269e-005
-0.00389574 , 0.00755401 , 2.44714e-005
-0.00389881 , 0.00755755 , 2.4516e-005
-0.00390188 , 0.00756108 , 2.45605e-005
-0.00390495 , 0.0075646 , 2.4605e-005
-0.00390802 , 0.00756812 , 2.46496e-005
-0.00391108 , 0.00757162 , 2.46941e-005
-0.00391415 , 0.00757511 , 2.47387e-005
-0.00391721 , 0.00757859 , 2.47832e-005
-0.00392027 , 0.00758207 , 2.48278e-005
-0.00392334 , 0.00758554 , 2.48724e-005
