Energy , partitionfunction
1 , inf
0.135335 , inf
0.135335 , inf
1 , inf
54.5982 , inf
0.00247875 , inf
1 , inf
7.38906 , inf
0.0183156 , inf
1 , inf
0.00247875 , inf
0.135335 , 10000
1 , inf
0.0183156 , inf
1 , inf
0.135335 , inf
0.00247875 , inf
7.38906 , inf
0.135335 , inf
1 , inf
0.135335 , inf
0.135335 , inf
1 , inf
0.0183156 , inf
7.38906 , inf
7.38906 , inf
7.38906 , inf
54.5982 , inf
7.38906 , inf
1 , inf
54.5982 , inf
1 , inf
1 , inf
0.0183156 , inf
7.38906 , inf
0.135335 , 10000
0.135335 , inf
7.38906 , inf
1 , inf
0.135335 , inf
0.135335 , inf
1 , inf
0.135335 , 10000
1 , inf
1 , inf
1 , inf
7.38906 , inf
7.38906 , inf
0.0183156 , inf
54.5982 , inf
7.38906 , inf
0.135335 , inf
7.38906 , inf
54.5982 , inf
1 , inf
1 , inf
7.38906 , inf
1 , inf
0.135335 , inf
1 , inf
7.38906 , inf
1 , inf
0.0183156 , inf
7.38906 , inf
0.135335 , inf
0.135335 , inf
0.135335 , inf
0.135335 , inf
7.38906 , inf
7.38906 , inf
0.0183156 , inf
7.38906 , inf
0.135335 , inf
7.38906 , inf
0.135335 , inf
0.135335 , inf
1 , inf
7.38906 , inf
0.0183156 , inf
1 , inf
1 , inf
1 , inf
0.135335 , inf
1 , inf
0.135335 , 10000
1 , inf
1 , inf
1 , inf
0.135335 , inf
1 , inf
7.38906 , inf
0.135335 , inf
0.0183156 , inf
1 , inf
1 , inf
0.0183156 , inf
1 , inf
1 , inf
0.135335 , inf
0.135335 , inf
